,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
0,108,28,300,600,2.5,0.25,60,96,72,20,4,113,120,4,3,0,0.8999999999999999,1,1,0.7999999999999999
1,36,18,800,800,4.5,0.5,98,70,104,96,3,79,80,1,2,1,0.6,0,1,0.7
2,78,108,700,800,1.0,0.75,44,32,88,22,4,116,340,4,7,1,0.6,1,0,0.7999999999999999
3,26,98,900,300,2.5,0.25,2,8,24,78,6,12,40,5,7,0,0.8999999999999999,0,1,0.6
4,26,96,200,100,3.0,0.25,28,4,80,50,3,122,340,7,2,1,0.6,1,1,0.5
5,116,82,100,200,4.5,0.75,10,26,96,48,1,75,80,6,1,0,0.5,1,0,0.7
6,36,58,600,800,2.5,0.75,74,108,80,120,7,46,240,8,5,1,0.8999999999999999,0,0,0.8999999999999999
7,2,46,100,400,1.0,0.75,28,112,104,110,3,92,400,8,6,0,0.7999999999999999,1,0,0.7999999999999999
8,74,78,800,800,1.0,0.25,14,32,72,20,1,104,360,6,2,0,0.6,0,0,0.5
9,86,32,100,600,4.5,0.75,52,88,72,40,2,52,80,8,5,0,0.7999999999999999,1,0,0.6
10,124,32,500,400,3.5,0.25,58,38,80,88,3,81,320,9,4,1,0.6,1,0,0.6
11,74,106,500,400,2.5,0.25,108,102,56,98,3,65,440,3,6,0,0.7,0,0,0.8999999999999999
12,26,104,100,100,3.0,0.25,2,82,72,96,6,63,40,7,4,1,0.8999999999999999,1,1,0.7999999999999999
13,104,24,300,400,2.5,0.5,112,64,16,76,4,27,60,6,5,0,0.7999999999999999,1,1,0.8999999999999999
14,80,110,900,300,1.5,0.25,86,76,16,52,7,17,420,5,5,0,0.5,1,1,0.7999999999999999
15,116,54,800,400,1.5,0.5,6,64,88,24,7,116,360,2,6,1,0.5,1,1,0.7
16,94,112,500,900,3.5,0.25,40,76,32,54,4,63,300,4,3,1,0.7999999999999999,0,1,0.5
17,100,44,300,500,4.5,0.25,20,86,16,98,7,77,100,9,5,0,0.6,0,1,0.7999999999999999
18,118,32,600,700,2.5,0.5,26,112,104,110,2,35,160,2,1,1,0.6,0,0,0.6
19,64,56,900,500,2.0,0.5,40,36,16,24,4,122,20,6,1,1,0.5,1,1,0.7999999999999999
20,26,68,400,600,3.5,0.25,14,88,120,28,7,58,20,2,1,0,0.7,1,0,0.8999999999999999
21,92,94,500,300,1.0,0.75,102,46,80,2,6,86,440,5,4,1,0.7,1,1,0.7999999999999999
22,122,80,800,200,4.5,0.75,60,66,112,18,6,47,60,1,1,1,0.8999999999999999,1,0,0.5
23,122,22,800,600,3.5,0.75,64,68,56,16,4,42,100,8,1,1,0.7999999999999999,1,1,0.5
24,114,104,500,500,1.5,0.5,126,108,104,54,1,57,100,8,2,1,0.8999999999999999,1,1,0.5
25,72,108,200,300,1.0,0.5,42,40,112,62,2,121,360,9,2,1,0.5,1,0,0.7999999999999999
26,24,60,100,800,1.5,0.75,48,18,40,66,1,15,240,9,6,1,0.7999999999999999,1,0,0.8999999999999999
27,88,28,300,100,2.5,0.5,34,40,104,44,1,103,480,7,6,0,0.6,1,0,0.5
28,74,42,500,200,1.0,0.75,74,6,48,108,2,102,120,2,7,0,0.7,1,1,0.8999999999999999
29,12,114,600,200,3.0,0.25,92,40,24,70,5,84,400,4,1,0,0.5,1,1,0.7
30,92,2,500,600,2.5,0.75,92,96,16,126,2,84,360,9,2,1,0.5,0,1,0.6
31,58,120,400,800,4.5,0.75,18,102,16,36,4,127,200,9,2,1,0.8999999999999999,0,1,0.8999999999999999
32,10,66,600,600,1.5,0.5,108,62,56,64,1,56,320,5,2,0,0.5,0,1,0.5
33,2,26,500,800,3.0,0.75,118,16,112,82,4,46,400,2,1,0,0.7,0,1,0.7999999999999999
34,98,90,700,900,1.5,0.75,118,124,96,32,5,63,300,8,3,1,0.6,0,1,0.7
