,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
0,92m,52k,800,100ms,3.5,0.25,4m,122k,32m,106k,5g,2g,100s,4s,5,false,0.5,true,false,0.7
1,32m,42k,800,800ms,2.0,0.75,78m,20k,24m,32k,11g,11g,140s,5s,3,false,0.6,true,false,0.8999999999999999
2,68m,100k,600,600ms,2.0,0.25,78m,106k,56m,54k,9g,11g,300s,4s,3,false,0.5,false,true,0.6
3,104m,4k,900,100ms,3.0,0.5,108m,122k,88m,78k,6g,4g,460s,1s,1,false,0.7999999999999999,true,true,0.7
4,82m,84k,500,500ms,4.5,0.25,114m,4k,96m,90k,2g,8g,480s,9s,5,false,0.8999999999999999,false,true,0.7
5,126m,114k,700,500ms,2.0,0.75,8m,90k,112m,42k,11g,9g,80s,9s,6,false,0.5,true,false,0.7
6,120m,36k,700,700ms,4.5,0.25,90m,114k,40m,38k,9g,3g,100s,5s,3,false,0.7999999999999999,true,false,0.5
7,44m,34k,700,500ms,1.0,0.25,82m,94k,48m,86k,8g,8g,420s,9s,2,false,0.7,true,true,0.5
8,40m,30k,700,100ms,2.0,0.25,124m,98k,8m,16k,11g,7g,320s,2s,7,false,0.6,false,false,0.6
9,52m,50k,100,300ms,4.5,0.25,22m,112k,72m,34k,8g,3g,440s,1s,6,true,0.7999999999999999,true,true,0.5
10,26m,26k,600,400ms,1.5,0.75,48m,80k,24m,2k,10g,7g,80s,7s,2,true,0.5,false,true,0.8999999999999999
11,116m,72k,200,100ms,4.5,0.75,6m,50k,24m,4k,2g,9g,180s,4s,5,false,0.5,true,true,0.6
12,26m,88k,100,900ms,3.0,0.75,16m,62k,24m,36k,10g,6g,480s,7s,1,false,0.8999999999999999,true,false,0.7
13,56m,68k,200,700ms,3.0,0.25,100m,8k,16m,34k,3g,5g,240s,8s,5,false,0.6,false,true,0.7999999999999999
14,56m,62k,100,100ms,4.0,0.25,110m,62k,72m,122k,6g,9g,240s,4s,4,false,0.7999999999999999,false,true,0.5
15,4m,32k,200,500ms,1.5,0.5,38m,10k,24m,112k,9g,8g,260s,2s,2,true,0.8999999999999999,true,false,0.7999999999999999
16,62m,38k,200,300ms,4.0,0.5,38m,114k,64m,62k,7g,7g,320s,1s,1,true,0.6,true,false,0.7999999999999999
17,20m,12k,500,100ms,4.0,0.25,116m,16k,104m,118k,11g,11g,480s,8s,4,true,0.8999999999999999,false,false,0.7
18,122m,14k,300,800ms,2.5,0.5,42m,102k,120m,120k,7g,2g,100s,4s,2,true,0.8999999999999999,true,true,0.6
19,52m,14k,600,800ms,1.0,0.5,102m,22k,72m,98k,11g,10g,380s,7s,3,false,0.7999999999999999,false,true,0.7
20,18m,74k,200,400ms,3.0,0.25,4m,86k,40m,66k,8g,1g,440s,8s,1,false,0.7999999999999999,false,true,0.8999999999999999
21,102m,44k,100,400ms,4.0,0.25,58m,60k,32m,98k,11g,8g,300s,9s,6,false,0.7999999999999999,false,true,0.8999999999999999
22,108m,122k,400,900ms,2.0,0.75,14m,30k,8m,74k,7g,10g,420s,2s,7,true,0.6,false,true,0.5
23,52m,14k,800,700ms,1.0,0.5,84m,40k,112m,96k,1g,3g,340s,3s,5,true,0.7,false,false,0.7999999999999999
24,16m,80k,400,700ms,3.0,0.75,114m,18k,88m,12k,3g,10g,380s,5s,5,false,0.7999999999999999,false,true,0.5
25,40m,80k,700,600ms,4.0,0.25,44m,66k,24m,46k,6g,10g,220s,3s,3,false,0.8999999999999999,false,true,0.8999999999999999
