,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
0,108m,64k,900,900ms,3.5,0.25,26m,120k,104m,34k,9g,11g,200s,5s,4,true,0.7,false,false,0.5
1,56m,100k,400,100ms,2.0,0.75,52m,96k,104m,112k,8g,11g,120s,3s,1,true,0.7,true,true,0.7999999999999999
2,74m,24k,800,100ms,1.5,0.5,44m,42k,40m,118k,11g,4g,120s,5s,4,false,0.7,false,false,0.7999999999999999
3,64m,42k,700,400ms,1.0,0.25,102m,62k,64m,72k,10g,2g,140s,9s,1,false,0.5,true,false,0.5
4,24m,24k,200,400ms,2.5,0.5,122m,38k,16m,110k,6g,8g,140s,8s,6,false,0.8999999999999999,true,true,0.6
5,76m,50k,500,700ms,2.0,0.75,74m,72k,96m,18k,6g,5g,200s,4s,1,false,0.7999999999999999,false,true,0.8999999999999999
6,118m,64k,100,900ms,4.0,0.75,70m,76k,16m,6k,9g,8g,40s,2s,1,false,0.5,true,true,0.6
7,126m,50k,400,500ms,4.5,0.5,78m,44k,88m,36k,3g,11g,300s,5s,7,true,0.5,false,true,0.8999999999999999
8,24m,124k,400,100ms,2.5,0.75,112m,62k,16m,84k,11g,4g,80s,5s,6,false,0.7999999999999999,true,true,0.7999999999999999
9,126m,76k,600,600ms,1.5,0.75,106m,88k,88m,32k,6g,10g,120s,6s,4,false,0.7,false,true,0.6
10,58m,54k,700,700ms,2.5,0.5,68m,38k,48m,14k,5g,4g,380s,5s,2,true,0.5,true,true,0.7
11,24m,88k,300,600ms,3.5,0.5,26m,16k,96m,78k,8g,10g,280s,8s,4,false,0.6,true,false,0.8999999999999999
12,46m,32k,100,600ms,2.0,0.25,74m,116k,48m,120k,1g,4g,440s,1s,1,true,0.5,false,false,0.5
13,4m,34k,900,400ms,3.5,0.25,46m,10k,72m,46k,7g,8g,460s,9s,3,true,0.8999999999999999,true,true,0.7999999999999999
14,124m,80k,100,400ms,2.5,0.25,104m,14k,120m,94k,2g,6g,200s,1s,1,true,0.6,false,false,0.7999999999999999
15,118m,10k,200,200ms,4.5,0.25,62m,84k,120m,118k,9g,5g,80s,1s,6,true,0.8999999999999999,true,false,0.7999999999999999
16,18m,14k,400,600ms,4.5,0.5,100m,44k,80m,82k,8g,6g,40s,2s,3,false,0.8999999999999999,false,true,0.7999999999999999
17,20m,48k,700,100ms,1.5,0.25,120m,64k,48m,72k,6g,5g,440s,9s,3,false,0.8999999999999999,true,false,0.7
18,58m,12k,200,400ms,4.0,0.25,88m,20k,32m,8k,5g,4g,20s,2s,2,true,0.7,true,false,0.6
19,112m,66k,200,400ms,3.0,0.5,36m,32k,72m,26k,10g,4g,460s,4s,3,false,0.5,false,true,0.6
20,4m,100k,400,900ms,4.5,0.5,106m,24k,64m,70k,8g,10g,400s,6s,5,false,0.7,true,false,0.6
21,40m,88k,200,800ms,2.0,0.5,108m,92k,32m,124k,8g,9g,320s,8s,6,false,0.7999999999999999,false,false,0.5
22,66m,90k,400,900ms,1.0,0.75,40m,8k,96m,64k,2g,10g,320s,9s,2,true,0.5,false,true,0.8999999999999999
23,30m,8k,100,700ms,1.0,0.5,10m,100k,56m,4k,1g,11g,300s,2s,5,true,0.6,false,false,0.8999999999999999
24,114m,98k,800,500ms,4.5,0.75,56m,66k,96m,48k,2g,7g,380s,1s,1,false,0.5,true,true,0.7
25,84m,68k,200,900ms,4.5,0.75,26m,126k,56m,60k,11g,2g,240s,4s,1,false,0.8999999999999999,false,true,0.7
26,102m,84k,600,200ms,3.0,0.75,108m,126k,112m,106k,4g,10g,280s,2s,2,true,0.6,true,false,0.8999999999999999
27,110m,84k,600,700ms,3.5,0.5,8m,86k,120m,54k,9g,10g,340s,3s,3,true,0.7999999999999999,false,false,0.8999999999999999
28,124m,28k,300,100ms,3.5,0.75,98m,108k,72m,94k,4g,4g,200s,2s,6,true,0.7,true,true,0.7
29,90m,20k,400,700ms,3.5,0.5,96m,36k,40m,4k,9g,11g,120s,5s,4,true,0.7999999999999999,true,false,0.7
