,m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb),m-branches,m-branches(M/sec),m-branches(%),m-branch-misses,m-branch-misses(% of all),m-branch-misses(%),m-bus-cycles,m-bus-cycles(M/sec),m-bus-cycles(%),m-cache-misses,m-cache-misses(% of all),m-cache-misses(%),m-cache-references,m-cache-references(M/sec),m-cache-references(%),m-cpu-cycles,m-cpu-cyclesGHz,m-cpu-cycles(%),m-instructions,m-instructions(per cycle),m-instructions(%),m-ref-cycles,m-ref-cycles(M/sec),m-ref-cycles(%),m-context-switches,m-context-switches(K/sec),m-cpu-clock,m-cpu-clock(M/sec),m-cpu-migrations,m-cpu-migrations(K/sec),m-emulation-faults,m-emulation-faults(K/sec),m-major-faults,m-major-faults(K/sec),m-minor-faults,m-minor-faults(M/sec),m-page-faults,m-page-faults(M/sec),m-task-clock(msec),m-CPUs,m-duration(s),s1-branches,s1-branches(M/sec),s1-branches(%),s1-branch-misses,s1-branch-misses(% of all),s1-branch-misses(%),s1-bus-cycles,s1-bus-cycles(M/sec),s1-bus-cycles(%),s1-cache-misses,s1-cache-misses(% of all),s1-cache-misses(%),s1-cache-references,s1-cache-references(M/sec),s1-cache-references(%),s1-cpu-cycles,s1-cpu-cyclesGHz,s1-cpu-cycles(%),s1-instructions,s1-instructions(per cycle),s1-instructions(%),s1-ref-cycles,s1-ref-cycles(M/sec),s1-ref-cycles(%),s1-context-switches,s1-context-switches(K/sec),s1-cpu-clock,s1-cpu-clock(M/sec),s1-cpu-migrations,s1-cpu-migrations(K/sec),s1-emulation-faults,s1-emulation-faults(K/sec),s1-major-faults,s1-major-faults(K/sec),s1-minor-faults,s1-minor-faults(M/sec),s1-page-faults,s1-page-faults(M/sec),s1-task-clock(msec),s1-CPUs,s2-branches,s2-branches(M/sec),s2-branches(%),s2-branch-misses,s2-branch-misses(% of all),s2-branch-misses(%),s2-bus-cycles,s2-bus-cycles(M/sec),s2-bus-cycles(%),s2-cache-misses,s2-cache-misses(% of all),s2-cache-misses(%),s2-cache-references,s2-cache-references(M/sec),s2-cache-references(%),s2-cpu-cycles,s2-cpu-cyclesGHz,s2-cpu-cycles(%),s2-instructions,s2-instructions(per cycle),s2-instructions(%),s2-ref-cycles,s2-ref-cycles(M/sec),s2-ref-cycles(%),s2-context-switches,s2-context-switches(K/sec),s2-cpu-clock,s2-cpu-clock(M/sec),s2-cpu-migrations,s2-cpu-migrations(K/sec),s2-emulation-faults,s2-emulation-faults(K/sec),s2-major-faults,s2-major-faults(K/sec),s2-minor-faults,s2-minor-faults(M/sec),s2-page-faults,s2-page-faults(M/sec),s2-task-clock(msec),s2-CPUs
m-network-i(kb),1.0,0.43438074941252014,-0.3189645754398338,0.9889305412404978,0.9952096072733104,-0.32352290098071856,0.9879777949411493,0.9965463583944857,-0.32418331126271915,0.6035354281696154,-0.10638961235147947,-0.0511607004311019,0.7795949371589311,-0.008704963757076578,-0.04063200461153822,0.37752647134403233,0.008429866011005607,-0.018437880369951285,0.019194130852976665,-0.01822214595092633,-0.04053021448471951,-0.010252299671205146,-0.03225981702859385,-0.020649153203777793,-0.015283599215841518,-0.08700055113688628,-0.029544901296456358,0.6416657935132734,,-0.04056505938753888,0.3775267324461304,0.007605350589387967,-0.02804833056258153,0.8790101511310199,0.22920791003989308,0.3813164508448169,-0.5995114876647845,0.778835701345774,0.45376274879053047,,,0.004660485340072992,0.0021863974994073892,0.30984764884185234,0.1532853164948056,0.3098499113844829,0.15324540538119666,0.381868978780698,-0.6791084689765633,0.7757187791300744,0.9024477797929241,0.14939170506109611,0.0017985808464370695,0.8994413437930375,,-0.0033320554090994626,0.6706208744468496,-0.44295203793738774,0.032216621032223614,0.828075648475212,0.04524327307011204,0.008024573068029906,0.9347313078933575,0.18159916017388242,0.006198473435693492,0.967383879627988,0.2556601526847352,0.0016940222401750356,0.9349187443745705,,0.07803961271696247,0.6706023096168603,-0.4428910698292962,0.1510523026222733,0.9887064014308579,0.06331410716646016,0.7757632547036307,-0.14648891830760863,0.9757489573893797,-0.22473519244445161,,,-0.010159215695806564,,0.7001660349729955,-0.36028879685343934,0.7002382738614756,-0.36058356136312225,0.7757634109958531,-0.6405367911071346,0.8487613625184897,0.11539343431453626,-0.045581930010118586,0.8921274324560957,,0.03987474829826225,0.6493979500306165,-0.47733471215918544,0.022961152803883337,0.7709889443268011,-0.032142327369662695,0.008414274114011416,0.9344602176857771,0.25328426115924263,0.005058635101389849,0.9612982871044355,0.2559084943547575,-0.006636581459688752,0.9254604898126018,,0.08476544375885894,0.6494388907062579,-0.4773564857252644,0.159163637988067,0.9867132949260086,-0.04894408747707211,0.7758284643574818,-0.06773175701729635,0.9704962174356965,-0.24752636105207504,,,0.007400949146809108,,0.7024098335710822,-0.3648370722229935,0.7024735680835575,-0.36489687143957156,0.7758303952762925,-0.5839877994987397
m-bus-cycles,0.37752647134403233,0.18590675145639932,-0.12894343900919605,0.386309643297668,0.3848450895086406,-0.12232175213442238,0.3828238806971748,0.37916677549440136,-0.12472672464106471,0.7568913028288861,-0.8732616198312279,-0.06561164780265615,0.5936335618189156,-0.5992470523894823,-0.07640881994559433,1.0,0.5547923491831637,-0.10115361475217155,-0.01615910999065653,-0.04420538950763599,-0.13993771260221216,0.026594460537689216,-0.04974394123171407,-0.11789232734282655,0.013709312080706618,-0.19689737679823358,-0.13000400376049698,0.6948172749439342,,-0.15433713349854217,0.9997327258307745,0.5668745218896968,-0.0882223965491247,0.5245319129185133,-0.40111128931594764,0.9998630246608772,0.3465350250730717,0.4785619881074014,-0.37552188860722113,,,-0.005633149691754684,-0.17523120690734711,0.46376359293921254,0.08795702777837035,0.463773131205408,0.08784316375002661,0.9998593897718172,-0.010315366378047834,0.4102053996606097,0.38025822180706004,0.027188000773948534,0.001199457824885605,0.40129899997529966,,0.011251623735558691,0.33732059974549106,-0.31976807791406536,0.052002255750505905,0.32487281863484313,0.016314970636875533,0.03689012342343335,0.38477269234256445,0.00511374408884657,-0.003828280959636772,0.39372835066112727,0.02753802088416463,-0.031343843987254136,0.40629960329382914,,0.03332183124190435,0.33730005659266515,-0.31977503861126155,0.09823689938112334,0.40048911815770627,-0.12872634157724389,0.4102732440738039,-0.06852046899569307,0.394850042290421,-0.27129817933963557,,,0.024590982105536487,,0.372048269797421,-0.1944108482559734,0.372066633403029,-0.19417797402497852,0.41027254684244746,-0.39031685636164815,0.3750284161529058,0.033234964704806726,-0.006983981852268812,0.41160003351874985,,-8.030093366802733e-05,0.3311989418876126,-0.33542637739702164,0.010429809169571586,0.28133757433062084,-0.02064052949631999,-0.018544408562062867,0.385997585248505,0.03488172043181441,0.021854132128804885,0.3911481282256821,0.014338016176012075,0.006109072927098982,0.40131626097382567,,0.038925042294797395,0.33120305134756867,-0.3356111795751559,0.06907936881498931,0.3998642936243514,-0.15491320409587514,0.4102692464606145,-0.022433299820604654,0.38565654529970467,-0.24838283283574988,,,0.003041584540239044,,0.3768353649906366,-0.19363381903628896,0.3768507283553921,-0.1947516679896238,0.4102690174968049,-0.3551506587459545
m-bus-cycles(M/sec),0.008429866011005607,0.03159438661166205,0.019297769086098485,0.015515645508138302,0.013245069620386704,0.019307160624387,0.010817748492177922,0.008807732622742715,0.020997760381918473,0.2934031628794065,-0.5683711028914599,0.20684651865774492,0.1455537865980167,-0.364165861565721,0.14811040547816745,0.5547923491831637,1.0,-0.18426447673583063,-0.07724059668817691,-0.0573826249959261,-0.32203867420263477,0.08446332117332345,0.04013338838658484,-0.2977773135521991,0.04096269869530339,-0.07587841644274891,-0.091290554291676,0.2507450721183481,,0.010485444450382858,0.540268940901423,0.27614933080553583,0.10104234251911004,0.07941761619634814,-0.3533741277961403,0.5410810824819484,0.4305426750472034,0.07969685129657182,-0.3935030158801446,,,0.008934325023342824,-0.07994696308231315,0.21380905063519023,0.012238625601533219,0.21381344858411194,0.012127177582653047,0.5409044798309987,0.2202537074937988,0.016363261724854698,0.01105134402157017,-0.012164199911507436,-0.017347492772400493,0.003029182478336094,,0.023421162957060277,-0.0021544263156577934,-0.0771342745682231,-0.022360202462655895,0.02336168386580263,0.03778763110441407,0.045169359225668566,0.004966794533727851,-0.031356933735489666,0.017869481405469612,0.015017475998304374,0.006652738974951659,-0.022652684649625165,0.007510517919023104,,0.02233045683634067,-0.0021679541165321443,-0.0771719994461229,0.03246907427481536,0.013612618326772354,-0.020325727396267534,0.016477860850722413,0.012432293820122276,0.012244341645118255,-0.03153890668454854,,,0.040368000740613016,,0.007578893897748846,-0.025956676436282963,0.007579311090145989,-0.026709200221151655,0.016477046242579868,-0.05369045387318806,0.029124152577313437,0.018331780879942836,0.048860839177402554,0.01597054492260994,,-0.040450695228300415,0.002249688762674979,-0.0662123591491599,-0.006713354469121921,0.00022628071465828764,-0.0003407191285229129,-0.01303458900231367,0.005437061712513609,-0.031157861104611082,-0.004569297971284363,0.010019189989783924,-0.017579710275489453,-0.0029599506970855423,0.007109567026111235,,0.01943829525273347,0.0022653359898086767,-0.06617944895027754,-0.018060084165324106,0.015810214006197115,-0.008218474170348043,0.016417029479989086,-0.026224975301692287,0.013912979332744376,-0.016402359184335014,,,-0.004890473102910689,,0.01767921149070056,-0.01118260089164524,0.017677424773015895,-0.010939297847699592,0.016418681018474133,-0.025344338922124315
m-bus-cycles(%),-0.018437880369951285,0.0021838235582112477,-0.016469388861227726,-0.01885607377493794,-0.01750459368762738,-0.014339957944416745,-0.01640101162997062,-0.018768615058789313,-0.014348351555580155,-0.0669225202291869,0.09535116975550745,-0.15857762928853372,-0.08868392335868053,-0.008005470442600637,0.5256842156502421,-0.10115361475217155,-0.18426447673583063,1.0,-0.10840322589088427,0.056247180735847224,0.5864658893154606,-0.11232856589395598,-0.10575604480622051,-0.5395710153705449,0.16261637904081921,0.1819290463741186,-0.7939954985719456,-0.0044221446640847475,,-0.6840357269164921,-0.10163768795087558,-0.22371324262533596,-0.5483406270832445,-0.03432621761435151,0.07405912482199191,-0.09858176379905992,-0.04577672742718206,-0.04075106165369999,0.04277877544282591,,,-0.0009372194450842112,0.008262162262212706,-0.057089873412303094,-0.02922852839581507,-0.05709132799336927,-0.029130758464071673,-0.09857236989088337,-0.013251171073462159,-0.03149479147415407,-0.015002968668565313,0.022402137908462287,0.009957159518963562,-0.027962880779558722,,-0.002505337981510904,-0.028664541539161092,0.014767065769137298,0.02416382882082538,-0.025021005271128348,-0.019716204881248492,-0.0014545267158283131,-0.027600473507686088,-0.006098765477114364,-0.01624874272530763,-0.029066150380280077,-0.028323676531293532,-0.011798918560979985,-0.024995410756463134,,-0.012714034922367036,-0.028677044215609404,0.014677676367486068,-0.0506846239893935,-0.02467694189431715,0.0006905809247041251,-0.03147325877965289,0.03532567408199821,-0.023238829063923685,0.030206312105476904,,,0.029157173349534653,,-0.03808523886696044,-0.012307450321711945,-0.03808423404505192,-0.012340109678444847,-0.031474911229071485,0.025677334480740666,0.00029428535931157315,0.04188024609265865,0.013322597439471034,-0.03201779517344049,,-0.022927127577107593,-0.02674161344935174,0.03454128398458137,0.0016750779635219897,-0.023460885996687407,0.0026079286873707894,0.008120554426977856,-0.019571734159987704,0.005522389323685635,0.041860956144676026,-0.029588792515216872,-0.02483056958072609,0.014316302982327452,-0.025453911402922677,,-0.019480621517688593,-0.02673722117544203,0.03457761442201356,-0.039195323708968305,-0.0231020329228446,0.008819010157278762,-0.03138563864605686,-0.02670504632864193,-0.024766244534183534,0.011779284569545844,,,-0.019798978981281343,,-0.03818394527808229,-0.0011241730081678922,-0.03818190128756554,-0.0011642750127565126,-0.03138319091711357,0.032469993375025756
m-CPUs,-0.6791084689765633,-0.43242696251233514,0.3378161364106533,-0.6703054295292467,-0.6706654590034652,0.3589511210697488,-0.6718314996083993,-0.6788722191716778,0.3604839756813244,-0.35326420203281683,-0.23462722520874446,0.02625496341271293,-0.590357980918446,-0.19924922016297913,0.009494158447550199,-0.010315366378047834,0.2202537074937988,-0.013251171073462159,-0.005036778056449326,0.014881168729413554,-0.029030115508795855,0.012914098823560965,0.005672790428350879,-0.030672902562046182,-0.0024008382781682083,-0.0009821086282053618,-0.01562624459290209,-0.42029847708495577,,-0.013732934348279264,-0.010416669939775549,0.22980625971442983,0.0007176736524926689,-0.7435342623114808,-0.4238107611052379,-0.014647040644805157,0.7969448203822035,-0.6467815418752904,-0.6445169649245691,,,-0.03379712175454081,-0.06875168361062017,-0.23103695172720556,-0.21857503421735386,-0.23104017606205055,-0.21856508060103824,-0.015246240777170923,1.0,-0.8150272495922839,-0.6778062709813503,0.0270919625392728,-0.004174717959209331,-0.7569281927463014,,0.007094366040313731,-0.7184739538502654,0.5230439091716128,-0.017651160775129883,-0.560647720727762,-0.0001683833748913459,-0.007336885296684691,-0.7061301363470671,0.028527135736154067,-0.02144918406973568,-0.7124318441461671,0.030610650364269017,-0.0008947349147268508,-0.7429196975651212,,-0.10393856609256087,-0.7184753954284735,0.5228808856899843,-0.14601188329320539,-0.7022808301531731,0.47362177423152807,-0.815000758451908,0.18695976410811846,-0.7098508109709407,0.6618225350958642,,,0.02738373559457195,,-0.7193902665759889,0.44049966098161397,-0.7194203411829229,0.44119633030551547,-0.8150018293910889,0.7765657641293179,-0.6309435020871842,0.048317177999647944,0.04968937108430872,-0.7439653756510356,,-0.0530207301488072,-0.693639006573294,0.5978782308776002,-0.011105093296927649,-0.5389033746680643,0.028729675388187274,-0.019535824100410423,-0.707528605955075,-0.050704579151327124,0.02697944247099427,-0.7211943245573249,-0.004668806525663931,0.018711628144593984,-0.7392148354301332,,-0.10416304047055584,-0.6936995957984076,0.5977691758224143,-0.17289677015218763,-0.6958406724017259,0.5306539626769231,-0.8149870101609845,0.06763932069364595,-0.6861561341193544,0.6577851589297552,,,-0.004446152176192268,,-0.7186143969313241,0.4577196117776024,-0.718639573589349,0.45771795024616674,-0.8149880085440855,0.7229879895974873
m-duration(s),0.7757187791300744,0.3844155814549336,-0.3718331439822318,0.779951514970358,0.7677074862431018,-0.37596458773931696,0.7684289895861672,0.7831838160925609,-0.37696625206294454,0.6413869971895819,-0.12827831000684267,-0.05663041210884466,0.7939918164920374,-0.0534304606193999,-0.04506098088352532,0.4102053996606097,0.016363261724854698,-0.03149479147415407,-0.015036891663146338,-0.020318394827826332,-0.031720205229442605,-0.012388746237837974,-0.036557556434054,-0.01562664018101337,0.02660905999696902,-0.06157397328360551,-0.035953676664928214,0.6734304033157534,,-0.04552281658475186,0.4104203404762352,0.02524247478098161,-0.034445840858063896,0.9193374285306587,0.24077211605406787,0.4142427228189175,-0.5978655885322945,0.7841332529910832,0.43507901087777207,,,0.014873814537182398,0.0005785108884064603,0.3470365499278745,0.18122562180141405,0.34704126853198675,0.18117221542401976,0.41479869008249665,-0.8150272495922839,1.0,0.8015303382875564,0.01639274990679603,0.0026845014148336736,0.9210572938855214,,-0.01026295440204362,0.9410999141694382,-0.4934247142652843,0.04379676963908033,0.6503859571816795,0.005827860991511853,0.011983304534318666,0.8268762590874198,0.007294895149505158,0.01474516996822132,0.8333849812343281,0.0217678604284046,0.01221536319443164,0.9114124182606259,,0.09265413371105603,0.9410968234641133,-0.4933458637311989,0.17654656340494843,0.8259262836390902,-0.3697677271405922,0.999992526200984,-0.17697404208083847,0.8520159889305676,-0.5717741769944018,,,-0.011759100119663425,,0.9087702482797975,-0.4337469316379344,0.9087980991037229,-0.43411023879708177,0.9999924878059508,-0.7687387195379161,0.7601938741236954,0.0036636399604017007,-0.03886307823597826,0.9232416472771977,,0.03817349383473388,0.9363933443395499,-0.5349923075404011,0.019669730365319302,0.644580624154326,-0.037356383004996135,0.009591224082821237,0.8137477577322036,0.07894707050071557,-0.0003082286802937856,0.8404268153469061,0.04336805290128217,-0.017186640601002418,0.9220169123549644,,0.09472433967161839,0.9364408825134674,-0.5350051492632016,0.18167937662121397,0.8186271963630484,-0.4382648902563479,0.9999923447424305,-0.0774217313862998,0.8294123324221941,-0.5656843925579931,,,0.004314739257808282,,0.9207883910831489,-0.43912217958448385,0.9208122788802412,-0.4392820775598914,0.9999923002988179,-0.7045630044310985
s1-branches,0.9024477797929241,0.3912666141874277,-0.3187858199056272,0.9003599715801656,0.8983450494964412,-0.3187043433885711,0.8928728002980842,0.903677137935159,-0.31977831689908165,0.5991434058468,-0.11388106250025189,-0.04934429530217924,0.7610559738871426,-0.02434837184695789,-0.04151218728264554,0.38025822180706004,0.01105134402157017,-0.015002968668565313,-0.006446505267082394,-0.023634326392655083,-0.03760656396424866,-0.020237107462068166,-0.04087845187122874,-0.02351311891153994,0.01143063141298235,-0.06460704602919301,-0.03391541460217017,0.6322336614514746,,-0.041784869957392896,0.3803375816782792,0.013688742280128506,-0.030689759170407945,0.8587389518699052,0.2258371292034945,0.3840432153310561,-0.5702988305840859,0.7514529329569385,0.4237856658398062,,,0.0011741823998971878,0.0028386452653720385,0.3086502623577151,0.1496369640374632,0.3086537274903345,0.14962719510370948,0.38457430920979085,-0.6778062709813503,0.8015303382875564,1.0,0.4601163946247584,0.19522664162610268,0.8667031806806239,,-0.16419054117862555,0.7082268106349927,-0.43662471877737635,0.05801749817643806,0.6891099049664777,-0.0818929677560724,0.00048592015761224285,0.913283046628814,0.2627965951487405,0.051856198631192056,0.9204959030336581,0.29980717641651305,-0.04571006881953554,0.8885211928762984,,0.09067254925938469,0.7082354725034604,-0.43642265685914605,0.14387876789513762,0.9098238343897528,-0.035348778971583734,0.801562738559969,-0.12529894471618364,0.9072250494992604,-0.29415779037583617,,,0.014597569848085168,,0.7229301690260288,-0.360473934612438,0.7229879827815323,-0.3609035826455511,0.8015615505019765,-0.6488349841421714,0.8341322992976565,0.16053480045292998,-0.04108847014397631,0.8642612693966574,,0.03726573332130552,0.6929707497189174,-0.4745067361938585,0.015913652695351107,0.7270400994980754,-0.03167745872188557,0.0017163454566562833,0.89064420809833,0.29870775559795537,0.002551920721747283,0.9256712899408163,0.3268723398513567,-0.009095541026382966,0.8885542969046304,,0.07885410200839463,0.693029748266268,-0.4745323006646387,0.1593385015314859,0.9049998492788421,-0.13587457114085139,0.8016281466409387,-0.07388553292391001,0.8982053783155577,-0.3075051651213816,,,0.00621265637247923,,0.7362155406081035,-0.36004499393265227,0.7362654588345708,-0.3601945547314596,0.8016299674571341,-0.5830186344257801
s1-branches(M/sec),0.14939170506109611,0.0005454264662801632,-0.011927351500601141,0.14859174613700118,0.15032596739501985,-0.0016656834929612795,0.1466583835981215,0.14841480646170468,-0.0025695186784832455,0.05615442437202226,0.002918514301182006,0.0015457466042513104,0.07478969532034123,0.008974798905579808,0.005791908826468951,0.027188000773948534,-0.012164199911507436,0.022402137908462287,-0.037082328325178104,-0.015528274935144727,-0.00961397042152135,-0.015300155185014366,-0.015184472447422978,-0.014342596686727705,0.029798866652389577,0.02537336288691735,-0.015602773442842157,0.057631926167609836,,-0.008927135850694773,0.0271786321036809,-0.013200226120280104,-0.012613933232359466,0.0748002265342172,0.046040298471001724,0.027693831628928266,-0.05157750278638472,0.06718375098915788,0.04119881815473016,,,-0.014804351967808682,0.005938309903762845,-0.017114326614729045,-0.036891794774425016,-0.017114461714121367,-0.036822546368571206,0.027742555028132585,0.0270919625392728,0.01639274990679603,0.4601163946247584,1.0,0.4816268847591292,0.08152682786556227,,-0.39896086342072307,0.0027627472332621434,0.015773239393505303,0.06675284894297082,0.026526659108807752,-0.27709105474079004,-0.028593940232503414,0.22321022701389526,0.44977146900237375,0.12071585246216036,0.19829713089943773,0.4326684556861058,-0.12246973543340174,0.09645413129092578,,0.03355133777398525,0.0028211032775557273,0.0161477232807818,-0.010631280494165419,0.13919313494245503,0.2108936990749503,0.016379173229593216,0.07007650458108879,0.1274083990143676,0.1463520337701353,,,0.06897540860446676,,0.01645413708280962,0.012354650776112244,0.01646976791586621,0.011986969274702422,0.016375184702454988,0.005569221245690803,0.1946722188929289,0.26342176828933006,-0.0206213207846276,0.07895753313893232,,0.019132567722028853,0.0007181588294556012,0.008371870419347378,-0.00902280894556442,0.1674597318761091,-0.0028338623652701678,-0.017343242554454855,0.1956589815441746,0.37924013517105293,0.00217003838484896,0.21106109552547642,0.48160533256347077,-0.005670522636192946,0.09637809339091272,,-0.01586846808530133,0.0007109605921246148,0.00826361995598805,0.010027346905266209,0.13857414770357412,0.1785010733206335,0.01650238226420993,-0.021676888524048886,0.1337393543852722,0.13909282233742387,,,-0.005895058001109593,,0.02275325239802824,0.019938351330389625,0.02276798695234352,0.019866295419193797,0.016504435988488737,0.035721465728600084
s1-branches(%),0.0017985808464370695,-0.010202822851159579,0.014891839384665694,-0.002352334218825351,-0.0003630631119003142,0.020033640694592177,-0.0037415108023684837,-0.000681807694780595,0.018050051926235017,-0.003795780638989857,-0.001775948734936165,-0.02678840244112064,-0.00859177586673795,-0.005890724001994894,0.0026241005900040897,0.001199457824885605,-0.017347492772400493,0.009957159518963562,-0.022051566016758156,0.008236150080849153,0.005988644047785266,-0.026026727505056812,-0.02387707973512283,0.013437102700179426,0.02610869076060535,0.025944324680963526,0.009026499346114533,-0.005610656303610638,,0.002461899764663061,0.001465175629943298,-0.0031792270785789313,-0.007480856380530882,-0.002094333944238705,0.004901289723960441,0.0015132310197880708,0.0073145430805665775,-0.0027055418595762666,-0.006357541037979314,,,-0.018766849374577104,-0.006852743149963441,-0.0012316340701977607,0.0005439140326038231,-0.0012314887148577093,0.0005750861668675934,0.001507472875267071,-0.004174717959209331,0.0026845014148336736,0.19522664162610268,0.4816268847591292,1.0,-0.007981780131346256,,-0.8954765734897234,-0.005971829101763673,-0.029333006958863716,0.01871275649194722,-0.1591289803816647,-0.28039651733064624,-0.03228646374768385,-0.02029260957797266,-0.05553356308424164,0.16371365516505504,-0.003550593976275924,-0.018623479385001772,-0.059372167506357994,-0.005687325015589866,,0.025981993339015314,-0.0059196452721963855,-0.028963434063643205,-0.018186377789207318,-0.0007025594242649436,-0.0033065639002403816,0.0025377687926242645,0.05173026817973367,-0.0021334147517815083,-0.01036133236608767,,,0.01123343206888126,,-1.244619079778813e-05,-0.0003763722500472097,-1.277904537246469e-05,-0.0007550747168950349,0.002534559412568276,-0.013358572599226603,-0.0013286146743230753,-0.014784503742492015,-0.0527503062359815,-0.00865130540202403,,0.05083180105826144,-0.0053355321437672,-0.02159229546115016,-0.004998318791606322,-0.014575353711764986,-0.03058501986207795,-0.030506054774059346,0.006960568170800052,0.025069120406524648,-0.002057408934830667,0.0025666564499173135,0.004213391873507059,-0.017320081764001672,-0.007273164615217076,,0.01073442183829187,-0.005307347594413042,-0.021510078751614443,0.005707007956629675,-0.0007054554820296131,-0.0027572628538096436,0.0027020110876993537,-0.01108091560046473,-0.0009767763983361604,-0.008419730780321173,,,-0.015284779834924335,,0.009645300991151526,0.011332428767343488,0.009642568339857167,0.011290022283512747,0.0027026238406442538,-0.0032347035092689675
s1-branch-misses,0.8994413437930375,0.4107292036848122,-0.32739612619531944,0.8983277161908354,0.8909324321676213,-0.35377709962595527,0.8870030105976605,0.903287959020376,-0.349623771669728,0.6304074953333078,-0.12277192397069202,-0.06147994973005447,0.7967899380275836,-0.026496105745538668,-0.05292932112893132,0.40129899997529966,0.003029182478336094,-0.027962880779558722,-0.003541012806565732,-0.028123508496938263,-0.03361185652149348,-0.00785018840274751,-0.030543433062374514,-0.010316850901571174,0.009566956550766953,-0.0733860647691538,-0.027691148733267987,0.6623140383162011,,-0.039702608692388855,0.40151717449207347,0.012268843759656374,-0.026412012180541775,0.9153906982360863,0.23285190249327248,0.4054940470140028,-0.6175066046423725,0.7964014637266619,0.4536792466554624,,,0.011076617141196905,0.007040852776922412,0.32755904429986477,0.1639206679099206,0.3275630726831256,0.16381455485082352,0.40606375075827156,-0.7569281927463014,0.9210572938855214,0.8667031806806239,0.08152682786556227,-0.007981780131346256,1.0,,0.0030202213526568634,0.8897639332102817,-0.3640181589984005,0.04429905938805158,0.7412669749850685,-0.0015018135225801617,0.012845232460697556,0.9057873827355414,0.10670548169812313,0.009864778938368072,0.9196747119936114,0.14013758943831456,0.005462973319579386,0.973186065209009,,0.09115848659377343,0.8897551926478873,-0.3639312836755604,0.16677087813726896,0.9343095029098528,-0.1313085441872153,0.9211154098999892,-0.14119025849412498,0.9423220873256638,-0.4063009751607785,,,-0.015016649396408097,,0.888853064823112,-0.33124679395037215,0.8888984846098891,-0.3315810283931956,0.9211136984203365,-0.7323268776979515,0.8179187718229288,0.05573004890512364,-0.04219276911432857,0.9685087567102174,,0.037827063650263816,0.8604133071327419,-0.46816381408072116,0.02391574100862002,0.7384077770929885,-0.028582866268197643,0.0030143946507885503,0.8882785766747786,0.16434524739386114,0.003369394996577472,0.9176839260897236,0.14636421696557486,-0.00878981545289894,0.9652431157625336,,0.0924177752999457,0.8604351842897484,-0.4682263692851726,0.17260165830680815,0.9256562321392114,-0.23715604287298953,0.9211441423528569,-0.04252817757654672,0.9199561044387566,-0.4347580256386364,,,0.0020174474050933338,,0.869250140859723,-0.3795530150244455,0.8692916769542088,-0.37996443240337807,0.9211419924447871,-0.6765081452145888
