,m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb),m-branches,m-branches(M/sec),m-branches(%),m-branch-misses,m-branch-misses(% of all),m-branch-misses(%),m-bus-cycles,m-bus-cycles(M/sec),m-bus-cycles(%),m-cache-misses,m-cache-misses(% of all),m-cache-misses(%),m-cache-references,m-cache-references(M/sec),m-cache-references(%),m-cpu-cycles,m-cpu-cyclesGHz,m-cpu-cycles(%),m-instructions,m-instructions(per cycle),m-instructions(%),m-ref-cycles,m-ref-cycles(M/sec),m-ref-cycles(%),m-context-switches,m-context-switches(K/sec),m-cpu-clock,m-cpu-clock(M/sec),m-cpu-migrations,m-cpu-migrations(K/sec),m-emulation-faults,m-emulation-faults(K/sec),m-major-faults,m-major-faults(K/sec),m-minor-faults,m-minor-faults(M/sec),m-page-faults,m-page-faults(M/sec),m-task-clock(msec),m-CPUs,m-duration(s),s1-branches,s1-branches(M/sec),s1-branches(%),s1-branch-misses,s1-branch-misses(% of all),s1-branch-misses(%),s1-bus-cycles,s1-bus-cycles(M/sec),s1-bus-cycles(%),s1-cache-misses,s1-cache-misses(% of all),s1-cache-misses(%),s1-cache-references,s1-cache-references(M/sec),s1-cache-references(%),s1-cpu-cycles,s1-cpu-cyclesGHz,s1-cpu-cycles(%),s1-instructions,s1-instructions(per cycle),s1-instructions(%),s1-ref-cycles,s1-ref-cycles(M/sec),s1-ref-cycles(%),s1-context-switches,s1-context-switches(K/sec),s1-cpu-clock,s1-cpu-clock(M/sec),s1-cpu-migrations,s1-cpu-migrations(K/sec),s1-emulation-faults,s1-emulation-faults(K/sec),s1-major-faults,s1-major-faults(K/sec),s1-minor-faults,s1-minor-faults(M/sec),s1-page-faults,s1-page-faults(M/sec),s1-task-clock(msec),s1-CPUs,s2-branches,s2-branches(M/sec),s2-branches(%),s2-branch-misses,s2-branch-misses(% of all),s2-branch-misses(%),s2-bus-cycles,s2-bus-cycles(M/sec),s2-bus-cycles(%),s2-cache-misses,s2-cache-misses(% of all),s2-cache-misses(%),s2-cache-references,s2-cache-references(M/sec),s2-cache-references(%),s2-cpu-cycles,s2-cpu-cyclesGHz,s2-cpu-cycles(%),s2-instructions,s2-instructions(per cycle),s2-instructions(%),s2-ref-cycles,s2-ref-cycles(M/sec),s2-ref-cycles(%),s2-context-switches,s2-context-switches(K/sec),s2-cpu-clock,s2-cpu-clock(M/sec),s2-cpu-migrations,s2-cpu-migrations(K/sec),s2-emulation-faults,s2-emulation-faults(K/sec),s2-major-faults,s2-major-faults(K/sec),s2-minor-faults,s2-minor-faults(M/sec),s2-page-faults,s2-page-faults(M/sec),s2-task-clock(msec),s2-CPUs
0,13755394264,418513490,41909604,8149648610,11744632322,39183332,6209635104,15951538124,3567505,19769568071,331.287,75.49%,627121109,3.17%,75.02%,1463804797,24.53,75.35%,3169922213839995,162.058,75.48%,1956045444359397,32778266.476,50.37%,1658866130192740,27798.308999999997,50.91%,99794483315,0.0,63.63%,152400722383,2553.842,75.60%,121166,0.002,59641.297163999996,999.434,21115,0.354,0,0.0,38,0.001,1201211,0.02,1201313,0.02,59675.072987,1.162,51.334824067,8830981092646426,3535917.13,66.94%,1993681211,0.00%,58.07%,23901382704,9.57,75.00%,938179819237060,5.263,75.01%,17825182682784988,7137187.605,75.01%,38845220985234752,15553.593,50.00%,2840794312720,0.0,62.49%,2487590476849,996.029,74.99%,650973,0.261,2497701.304189,1000.077,45922,0.018000000000000002,0,0.0,0,0.0,22076674,0.009000000000000001,22079754,0.009000000000000001,2497507.935776,48.03,7017695828940602,2793357.731,60.17%,1907681560,0.00%,64.85%,25673297225,10.219,75.00%,11634018145043670,93.932,75.00%,12385524794451696,4929994.443,75.00%,30396575060207276,12099.2,50.01%,2902087510539,0.0,62.50%,2673948292404,1064.351,75.00%,614392,0.245,2512382.336255,1000.041,44324,0.018000000000000002,0,0.0,0,0.0,21968208,0.009000000000000001,21970968,0.009000000000000001,2512279.666419,48.036
1,15277507668,496843376,37335376,7720476540,10938463306,35123992,6087491758,17649744238,3706762,18742880494,352.13599999999997,75.92%,608630523,3.25%,75.58%,1303486342,24.49,75.56%,3734453161877021,331.32099999999997,75.37%,1127139309454090,21176392.612,49.95%,2220545835880820,41719.023,50.71%,95762581367,0.0,63.78%,135571637482,2547.084,75.95%,119474,0.002,53194.913457999995,999.4119999999999,20119,0.37799999999999995,0,0.0,41,0.001,1301981,0.024,1302103,0.024,53226.218937,0.929,57.295134855,8275253860199504,3065375.675,57.83%,1986619301,0.00%,62.77%,29006482054,10.745,75.00%,9757538819664214,39.998000000000005,75.00%,24395156871086304,9036619.508,75.00%,55079189399996056,20402.807,54.43%,2859273688519,0.0,62.50%,3015320372970,1116.955,75.00%,598006,0.222,2699804.77825,1000.08,42409,0.016,0,0.0,0,0.0,26153941,0.01,26156713,0.01,2699588.806298,48.031000000000006,11645582010758848,4314172.3610000005,60.43%,1854923082,0.00%,59.64%,24874798812,9.215,75.00%,9194639490802816,42.981,75.00%,21392568259139140,7924999.08,75.00%,64799978534174296,24005.522,54.95%,2783845646258,0.0,62.50%,2585542455197,957.829,75.00%,522650,0.19399999999999998,2699684.490782,1000.1139999999999,39939,0.015,0,0.0,0,0.0,20115354,0.006999999999999999,20118599,0.006999999999999999,2699378.011604,48.027
2,13744744330,424732904,39697944,8704280046,11741338038,38642524,6218776188,16501206738,3648121,19750676713,402.76599999999996,75.38%,629218677,3.19%,75.16%,1199025885,24.451,75.44%,3528938081302932,254.00400000000002,75.77%,1389322253077324,28331792.022,50.65%,1933142580009713,39421.663,50.96%,100704843211,0.0,63.51%,124744837088,2543.863,75.43%,118375,0.002,49007.059184,999.378,18475,0.377,0,0.0,41,0.001,870117,0.018000000000000002,870260,0.018000000000000002,49037.570655,0.971,50.480435523000004,4761092073468448,1998635.1630000002,59.13%,2042848632,0.00%,61.98%,26960853286,11.318,75.00%,8443440241489252,39.471,75.01%,21391340532887152,8979764.454,75.00%,62922597232357784,26413.964,53.91%,2850687094871,0.0,62.49%,2803714039273,1176.9569999999999,74.99%,577249,0.242,2382373.8836669996,1000.085,40899,0.017,0,0.0,0,0.0,19501552,0.008,19504761,0.008,2382171.675225,48.033,10248661568667784,4302028.508,60.42%,2143485232,0.00%,62.76%,27567559853,11.572000000000001,75.00%,10882583492763730,37.66,75.01%,28896589643288092,12129774.372000001,75.00%,76042307696260496,31919.892999999996,51.82%,3160918447413,0.0,62.49%,2869353679405,1204.454,74.99%,570492,0.239,2382470.379168,1000.077,44692,0.019,0,0.0,0,0.0,25348630,0.011000000000000001,25351834,0.011000000000000001,2382285.833047,48.034
3,13712172078,417753570,17485796,7321644384,10569291510,15477680,5646203016,15692387890,1511140,18570581212,408.909,75.46%,607592728,3.27%,75.37%,1112282277,24.491999999999997,75.46%,2409748953772093,173.252,75.92%,1390893088832377,30626325.919,50.59%,4187579325508942,92207.065,50.41%,95226179223,0.0,63.01%,115610068673,2545.639,75.20%,116933,0.003,45384.654828,999.3330000000001,18904,0.41600000000000004,0,0.0,41,0.001,712812,0.016,712946,0.016,45414.950932,0.932,48.753644942,10807854945743872,4706656.631,66.41%,1884387510,0.00%,58.60%,24752471735,10.779000000000002,75.00%,375282766574051,1.4080000000000001,75.01%,26645713899639920,11603803.59,75.00%,65305843486168632,28439.702999999998,50.00%,2758994278100,0.0,62.49%,2577153537172,1122.3110000000001,74.99%,530018,0.231,2296233.0233130003,999.975,43355,0.019,0,0.0,0,0.0,15036266,0.006999999999999999,15039921,0.006999999999999999,2296291.357661,48.042,7987394697262006,3478449.064,59.91%,1685023152,0.00%,60.95%,26803519499,11.673,75.00%,7505992246134916,30.074,75.00%,24958473483574156,10869223.570999999,75.00%,57940179079776280,25232.502999999997,54.17%,3022513137171,0.0,62.50%,2784666739980,1212.701,75.00%,501261,0.218,2296067.7665009997,999.92,43099,0.019,0,0.0,0,0.0,14520984,0.006,14525415,0.006,2296251.734969,48.04600000000001
4,15327860538,420784618,40976140,7909450290,12541457902,36057156,5931756746,16206678966,3446210,18424429173,372.676,75.27%,611150056,3.32%,75.81%,1211057215,24.496,75.84%,1672073802623497,299.752,75.75%,557819166450020,11283157.099000001,50.46%,5590360430283636,113077.712,50.35%,95533873728,0.0,62.73%,125939748827,2547.417,75.02%,120156,0.002,49406.326137000004,999.355,20589,0.41600000000000004,0,0.0,41,0.001,1214485,0.025,1214616,0.025,49438.216765,0.953,51.858295466,7320086804962218,3000031.764,65.37%,1787954382,0.00%,59.65%,22963749962,9.411,75.00%,1688808018678134,13.845999999999998,75.00%,12197370818631174,4998916.115,75.00%,49255952126988520,20186.84,50.00%,2431790884182,0.0,62.50%,2388800943186,979.0160000000001,75.00%,601621,0.247,2440141.4297080003,1000.057,40339,0.017,0,0.0,0,0.0,17772577,0.006999999999999999,17775790,0.006999999999999999,2440003.10035,48.033,4220273407494865,1729823.136,50.03%,1855176055,0.00%,74.99%,24370837182,9.988999999999999,75.00%,4316038949975862,15.645999999999999,75.00%,27585987786555352,11307058.879,75.00%,37150332464102840,15227.332,50.01%,2519627571878,0.0,62.50%,2535074953857,1039.087,75.00%,593963,0.243,2439980.413563,1000.1089999999999,40609,0.017,0,0.0,0,0.0,18611259,0.008,18613813,0.008,2439713.817948,48.031000000000006
5,13679569394,419407298,37998156,6470000196,10588052700,34442440,6215733362,15357863642,3611912,18842810404,378.32300000000004,75.11%,619679155,3.29%,74.97%,1221773704,24.531,75.08%,3355632138254992,406.15,75.49%,826205260873610,16588429.023,51.10%,3017595345651337,60586.84,51.30%,95220027636,0.0,63.44%,127024906298,2550.388,75.45%,122083,0.002,49773.014265,999.335,20510,0.41200000000000003,0,0.0,41,0.001,797294,0.016,797404,0.016,49806.118454,0.922,54.031176076,9804736721132530,3858930.9189999998,64.60%,2041154424,0.00%,60.42%,28660575416,11.28,74.99%,2251765429467111,13.484000000000002,75.00%,16699688370297422,6572633.781,75.01%,38842789874653568,15287.676000000001,50.00%,2832057100339,0.0,62.50%,2987630945133,1175.866,74.99%,580434,0.228,2540966.22573,1000.069,47844,0.019,0,0.0,0,0.0,22833349,0.009000000000000001,22836996,0.009000000000000001,2540790.940994,48.031000000000006,2434379693163921,958093.059,57.82%,1912487391,0.00%,74.99%,29967129711,11.794,75.00%,7880560837831208,40.458,75.01%,19478354141971940,7666049.778,67.20%,37439465014531808,14734.962,50.00%,2801646780522,0.0,62.50%,3114482024810,1225.759,74.99%,557381,0.21899999999999997,2540981.475315,1000.048,42389,0.017,0,0.0,0,0.0,24457284,0.01,24459792,0.01,2540859.335277,48.032
6,13935734292,419954054,30334756,8772563930,12541494620,27646952,6494455858,16240850950,2765949,18845938324,351.02099999999996,74.99%,615479090,3.27%,75.02%,1318044765,24.55,75.11%,2420307325200064,219.697,75.59%,1101654575447747,20519188.954,51.10%,4131851471524106,76959.006,51.09%,96561945863,0.0,63.50%,136879247301,2549.484,75.30%,119535,0.002,53657.710706,999.4169999999999,19912,0.371,0,0.0,41,0.001,1120023,0.021,1120143,0.021,53688.992188,1.042,51.539924064,8173527587022030,3369989.7810000004,61.99%,1894183867,0.00%,64.58%,28734262593,11.847000000000001,75.00%,4690785816528858,17.361,75.01%,27019638284611180,11140343.498,73.44%,62491510289358776,25765.589,50.00%,2795458678880,0.0,62.50%,2986832644480,1231.487,74.99%,619845,0.256,2425541.173889,1000.064,44385,0.018000000000000002,0,0.0,0,0.0,20570678,0.008,20574177,0.008,2425386.46042,48.032,6060067860849842,2498246.546,55.74%,1887988651,0.00%,74.99%,24753902534,10.205,75.00%,8818480372873408,35.582,75.01%,24783824946152760,10217064.641,69.28%,56297433990390200,23208.465,50.00%,2777073964832,0.0,62.50%,2570073547026,1059.506,74.99%,577060,0.23800000000000002,2425808.296984,1000.033,43904,0.018000000000000002,0,0.0,0,0.0,19599918,0.008,19603226,0.008,2425728.505929,48.037
7,15391896770,421136464,41682000,7578533764,12309523500,35439132,5938194678,16177406744,3430303,18467732275,372.61199999999997,75.23%,616858701,3.34%,75.72%,1215804034,24.531,75.58%,1869952162827930,335.587,75.26%,557217564420352,11242634.747000001,50.51%,4729658458395592,95427.398,50.59%,95160787206,0.0,63.04%,126107635084,2544.396,75.24%,120245,0.002,49530.369545,999.3439999999999,21642,0.43700000000000006,0,0.0,41,0.001,934208,0.019,934339,0.019,49562.898461000004,1.044,47.488479152,8207973892010264,3667692.6980000003,61.73%,1824307634,0.00%,60.42%,23642510049,10.565,75.00%,5441153649271452,20.278,75.01%,26833169987628128,11990269.818,75.00%,54578235542463176,24388.016,52.86%,2694704706799,0.0,62.49%,2459836750798,1099.1660000000002,74.98%,582151,0.26,2238022.912141,1000.05,40481,0.018000000000000002,0,0.0,0,0.0,19557250,0.009000000000000001,19560241,0.009000000000000001,2237912.10667,48.036,5555237981884230,2482205.102,55.74%,1893085998,0.00%,69.27%,24155417461,10.793,75.01%,6942017367549076,27.203000000000003,75.01%,25518920095159876,11402426.657,75.00%,52920346394133056,23645.999,50.00%,2694175557671,0.0,62.49%,2508186321403,1120.714,74.99%,560270,0.25,2238229.044048,1000.091,44560,0.02,0,0.0,0,0.0,17966719,0.008,17969116,0.008,2238025.366215,48.036
8,13761848578,419829322,37758192,8694784996,11747329696,37017984,6214122784,16503409056,3644603,19439773738,393.61400000000003,75.47%,623859494,3.21%,75.33%,1210025371,24.5,75.24%,3550074356423908,298145623.739,75.32%,1190718251,24.109,50.73%,3036159305820402,61475.733,50.99%,98630985464,0.0,63.39%,125831697290,2547.823,75.38%,121261,0.002,49357.304705,999.38,20532,0.41600000000000004,0,0.0,41,0.001,650857,0.013000000000000001,650998,0.013000000000000001,49387.931992000005,1.018,48.519535228,1939780267947282,850386.8509999999,50.80%,1961816543,0.00%,74.21%,24699330506,10.828,75.00%,6942362814038572,30.326999999999998,75.01%,22891553821075848,10035505.921,75.01%,35748551116315600,15671.928999999998,50.00%,2711701429068,0.0,62.49%,2567099274019,1125.399,74.99%,607718,0.266,2281245.6108959997,1000.0830000000001,41965,0.018000000000000002,0,0.0,0,0.0,19809248,0.009000000000000001,19811653,0.009000000000000001,2281056.281711,48.032,4662201301401750,2043883.969,66.42%,1957586192,0.00%,58.60%,25062050574,10.987,74.99%,1876452265683703,14.286,75.00%,13134482743435938,5758086.575,75.01%,45315142489725360,19865.915,50.00%,2982881813367,0.0,62.50%,2605410384805,1142.198,74.99%,577502,0.253,2281274.353777,1000.0980000000001,45510,0.02,0,0.0,0,0.0,22836782,0.01,22840173,0.01,2281049.889209,48.032
9,14633596876,419339296,31665376,9837571282,13713566550,29116208,7896957070,18235165168,2827461,19019632871,350.832,75.56%,613832241,3.23%,75.54%,1331175738,24.555,75.57%,2611361305913538,185.326,75.45%,1409067296674127,25991372.534,49.94%,3624315377528115,66853.394,50.48%,96067829258,0.0,63.13%,138180538966,2548.85,75.41%,121402,0.002,54182.557802999996,999.441,18972,0.35,0,0.0,41,0.001,959110,0.018000000000000002,959234,0.018000000000000002,54212.885249,1.141,47.505731511,6342290886007100,2833984.7569999998,55.48%,1748011697,0.00%,69.53%,22883323826,10.225,75.00%,4315348677863379,31.078000000000003,75.01%,13885332424301334,6204512.084,75.00%,48136067744770272,21509.086,50.00%,2711195853176,0.0,62.49%,2382803351649,1064.73,74.99%,568416,0.254,2238059.173539,1000.053,43484,0.019,0,0.0,0,0.0,17016881,0.008,17019409,0.008,2237941.071935,48.035,2533110042781082,1131851.993,50.01%,1987687226,0.00%,75.00%,24626905612,11.004000000000001,75.01%,9381701181551650,55.552,75.01%,16888138568267740,7546009.834,75.00%,35189692542444692,15723.566,50.00%,2843308010433,0.0,62.49%,2562062495406,1144.789,74.99%,579497,0.259,2238034.818382,1000.0060000000001,42007,0.019,0,0.0,0,0.0,20275653,0.009000000000000001,20278478,0.009000000000000001,2238022.3375770003,48.038999999999994
