workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
sort0,4093004,54751551,48545021,4393260933,14860059633,404.552,75.33%,506464021,3.41%,75.01%,899340737,24.484,74.90%,2808832369936135,1026.879,75.16%,273530891971997,7446634.604,51.45%,1628127670497766,44324.324,51.87%,78275394937,0.00,64.22%,93449458766,2544.078,76.02%,88686,0.002,36710.733956,999.417,7208,0.196,0,0.000,128,0.003,513510,0.014,513775,0.014,36732.149018,3.086,11.902365595
sort1,4050288,54751551,48545021,4256788553,14616381525,394.784,75.26%,503346232,3.44%,75.14%,904891970,24.441,75.28%,2801779450373894,303783642.213,75.35%,922294377,24.911,51.21%,2462006573515671,66497.964,51.45%,76097236405,0.00,64.02%,94183491262,2543.864,75.90%,86930,0.002,37001.957580,999.410,7763,0.210,0,0.000,147,0.004,499378,0.013,499640,0.013,37023.788794,2.980,12.424746302
sort2,4095864,54751551,48545021,4297259668,14334333902,401.620,75.49%,489443652,3.41%,75.14%,872426403,24.444,74.97%,2415790502437445,880.304,75.73%,274426772762578,7688901.978,51.28%,2202555832984052,61711.311,51.12%,75139865245,0.00,63.79%,90683292953,2540.769,75.78%,85496,0.002,35670.203841,999.409,7269,0.204,0,0.000,149,0.004,501744,0.014,502022,0.014,35691.282518,2.996,11.911296101
sort3,4187272,54751551,48545021,4022593315,14567642296,372.326,75.94%,487788848,3.35%,75.68%,959591704,24.526,75.48%,2235222093747987,398.160,75.56%,561387299064468,14348179.558,50.14%,2221561060556392,56779.619,50.68%,76480583140,0.00,63.63%,99530670016,2543.848,76.00%,85204,0.002,39104.913000,999.460,7778,0.199,0,0.000,147,0.004,483803,0.012,484100,0.012,39126.029668,3.222,12.142580739
sort4,4150404,54751551,48545021,4264953732,14396694765,393.794,75.48%,485809265,3.37%,75.41%,893263539,24.433,75.21%,1876131985631858,339.587,75.01%,552474174242880,15111853.914,50.95%,3293744550778070,90093.961,51.28%,76013641249,0.00,63.50%,93159826280,2548.205,75.47%,86273,0.002,36537.885697,999.423,7478,0.205,0,0.000,148,0.004,491973,0.013,492262,0.013,36558.993845,2.973,12.295908144
sort5,4153984,54751551,48545021,4241716333,14805049314,367.994,75.05%,499235912,3.37%,75.07%,984069956,24.460,75.37%,2032117744103894,217861179.737,76.18%,932758074,23.185,51.20%,3602317063864784,89539.233,50.79%,77435885244,0.00,63.15%,102488561277,2547.457,75.36%,86792,0.002,40209.754489,999.454,8115,0.202,0,0.000,148,0.004,506138,0.013,506441,0.013,40231.716582,3.233,12.444963311
sort6,4136508,54751551,48545021,4619867155,14029731542,385.213,76.23%,480834514,3.43%,75.96%,892265000,24.499,75.36%,3180361669184650,345814550.655,75.23%,919672600,25.251,50.07%,1667125023301341,45774.072,50.65%,74821030739,0.00,63.48%,92549533081,2541.123,75.67%,87749,0.002,36398.573899,999.392,7037,0.193,0,0.000,148,0.004,499800,0.014,500094,0.014,36420.727837,3.002,12.131604799
sort7,4186372,54751551,48545021,4725083298,15178246049,377.595,75.09%,508028149,3.35%,75.30%,983985719,24.479,75.98%,1665687158070771,149.116,76.04%,1117039138000062,27788997.652,50.40%,2509647302056109,62433.428,50.47%,80195842729,0.00,62.77%,102585014150,2552.046,75.05%,86978,0.002,40175.899535,999.471,7282,0.181,0,0.000,148,0.004,500762,0.012,501051,0.012,40197.172708,3.294,12.204929273
sort8,4215304,54751551,48545021,4290859866,14696840033,402.100,74.72%,495922355,3.37%,75.21%,891129103,24.381,75.68%,2220726648406964,811.831,76.05%,273545445334235,7484094.291,51.45%,3050746723235138,83467.214,50.75%,76868250259,0.00,63.28%,92820274487,2539.526,75.10%,86488,0.002,36529.038463,999.420,6295,0.172,0,0.000,148,0.004,514755,0.014,515052,0.014,36550.240378,3.063,11.933734820
sort9,4203600,54751551,48545021,4699580588,14575675608,395.066,75.64%,494541943,3.39%,75.62%,902002753,24.448,75.34%,2803594337231443,503.209,75.30%,557142806830006,15101070.872,50.52%,2204939196928041,59763.749,51.06%,76371584657,0.00,63.68%,93838217299,2543.437,75.55%,86039,0.002,36873.088602,999.426,7671,0.208,0,0.000,148,0.004,491379,0.013,491673,0.013,36894.258132,2.970,12.420848160
sort10,4228732,54751551,48545021,4227856585,14737576554,410.785,75.72%,497775827,3.38%,75.60%,875705639,24.409,75.25%,2989393329585793,540.887,75.33%,552683642387535,15405125.969,50.93%,1643552642594415,45811.263,51.38%,76771995014,0.00,63.79%,91309436536,2545.097,75.71%,85188,0.002,35855.586380,999.414,6630,0.185,0,0.000,147,0.004,480630,0.013,480936,0.013,35876.606494,3.118,11.506340055
sort11,4103424,54751551,48545021,4442173594,14474027063,396.650,75.36%,493577425,3.41%,75.29%,891693086,24.436,75.28%,2238324197811449,270.812,75.45%,826522626640433,22650237.457,51.08%,2464910473558546,67549.037,51.39%,75581461523,0.00,63.87%,92990925757,2548.347,75.77%,87453,0.002,36468.696469,999.397,7240,0.198,0,0.000,148,0.004,515698,0.014,516002,0.014,36490.682635,3.012,12.115792679
sort12,3947196,54751551,48545021,4723310333,14608158473,373.091,75.34%,493948119,3.38%,75.23%,959746711,24.512,75.06%,1864091543998296,338.063,75.50%,551404022378045,14082788.421,51.05%,3021892793388744,77178.757,51.23%,75823428835,0.00,63.78%,99483683249,2540.801,75.51%,86699,0.002,39133.556452,999.466,6255,0.160,0,0.000,148,0.004,431960,0.011,432266,0.011,39154.463298,3.337,11.732651027
sort13,4129176,54751551,48545021,4208502019,14534096719,407.052,75.56%,497942092,3.43%,75.74%,874472553,24.491,75.85%,1300657058482070,463.695,75.74%,280498164217368,7855834.421,50.17%,4725513036370508,132346.135,50.63%,76563158358,0.00,63.27%,90600410561,2537.421,75.77%,86760,0.002,35684.909594,999.417,6585,0.184,0,0.000,148,0.004,466750,0.013,467065,0.013,35705.712362,3.001,11.896039070
sort14,4052632,54751551,48545021,4576645404,14996260082,376.155,76.15%,506402045,3.38%,75.29%,976976382,24.506,75.04%,2064530509298005,740.323,74.99%,278868905442921,6994942.515,50.47%,2992193263741473,75053.975,51.74%,78788368556,0.00,64.30%,101680998174,2550.491,76.39%,88617,0.002,39846.257773,999.474,6216,0.156,0,0.000,148,0.004,509132,0.013,509463,0.013,39867.219045,3.294,12.103526864
sort15,4040492,54751551,48545021,4992702992,14820748762,385.317,75.60%,506330133,3.42%,75.11%,942092696,24.493,74.98%,1679031039510969,608.261,75.44%,276037802409516,7176565.830,50.99%,3842853452205343,99908.384,51.27%,77919356250,0.00,63.81%,97703751670,2540.150,75.52%,87671,0.002,38441.632457,999.424,7289,0.190,0,0.000,148,0.004,497350,0.013,497655,0.013,38463.773476,3.072,12.520442066
sort16,4244800,54751551,48545021,4273135001,14619336441,394.010,75.04%,487756242,3.34%,75.35%,905784449,24.412,75.61%,1850826744652290,193566910.764,76.04%,956168974,25.770,51.09%,4155396964453047,111993.364,50.80%,76714440137,0.00,63.19%,94592361248,2549.387,75.23%,86738,0.002,37083.574476,999.451,6753,0.182,0,0.000,148,0.004,495056,0.013,495374,0.013,37103.957080,3.082,12.037065912
sort17,4251728,54751551,48545021,4470459466,14762201491,390.991,75.59%,494326492,3.35%,75.48%,925286866,24.507,75.57%,554378724953909,54454064.365,76.16%,1018066753,26.964,50.35%,5569171285804462,147504.907,50.54%,77925398788,0.00,63.09%,96068007728,2544.454,75.20%,87682,0.002,37734.662329,999.439,7803,0.207,0,0.000,149,0.004,510548,0.014,510840,0.014,37755.837353,3.129,12.065174595
