workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(M/sec),CPUs,duration(s)
svm0,13492776,48580835268,0,23425952068,22399531507,273.050,75.17%,699949391,3.12%,75.05%,2014816012,24.561,75.20%,2983430307275182,127668092.448,75.48%,2336864482,28.486,50.51%,2226663466793308,27142.957,50.57%,170737965347,0.00,63.12%,209773521342,2557.133,75.28%,139331,0.002,81996.584081,999.536,17331,0.211,0,0.000,38,0.000,1788418,0.022,1788647,0.022,82034.667913,3.659,22.419172530
svm1,13451496,48580835268,0,23816101647,22573033054,268.036,75.07%,699116279,3.10%,75.08%,2069149968,24.569,75.38%,1866505696014238,78104095.008,75.40%,2389766754,28.377,50.44%,3343903674393819,39706.131,50.51%,172007520518,0.00,63.26%,215124511109,2554.428,75.41%,140866,0.002,84176.576947,999.528,18286,0.217,0,0.000,57,0.001,3083723,0.037,3083944,0.037,84216.306182,3.162,26.636134182
svm2,14588012,48580835268,0,23804338757,22744230639,268.976,75.27%,697566601,3.07%,75.56%,2082508087,24.628,75.54%,2803862761814967,994.287,75.29%,281997328314445,3334932.472,49.91%,2249866150522481,26607.173,50.05%,172614933052,0.00,62.83%,215955210033,2553.911,75.07%,138482,0.002,84519.446469,999.537,17587,0.208,0,0.000,57,0.001,2528375,0.030,2528629,0.030,84558.632213,3.384,24.991444003
svm3,14054768,48580835268,0,24057229194,22705961226,253.811,75.13%,696048922,3.07%,75.04%,2198711241,24.578,75.32%,2618039947111623,111901610.093,75.26%,2339590954,26.152,50.40%,2777179845466863,31043.770,50.68%,170211070666,0.00,63.10%,228914709684,2558.846,75.36%,140406,0.002,89420.862032,999.561,18636,0.208,0,0.000,57,0.001,2554298,0.029,2554509,0.029,89460.136126,3.156,28.346519342
svm4,13218264,48580835268,0,24246158617,24219824460,239.929,75.47%,713962448,2.95%,75.51%,2489020678,24.657,75.08%,2811870890648127,499.682,75.08%,562731573424705,5574589.180,50.02%,1956219800938512,19378.905,50.37%,177782557713,0.00,62.90%,258172801107,2557.538,75.16%,144258,0.001,100905.650477,999.602,18734,0.186,0,0.000,57,0.001,3044777,0.030,3045041,0.030,100945.837486,3.329,30.320667264
svm5,12895372,48580835268,0,23996373527,22994367982,257.667,75.36%,701880172,3.05%,75.19%,2192818471,24.572,75.30%,2618078689924660,466.955,75.26%,560669923904113,6282678.733,50.20%,1945559785414844,21801.289,50.64%,173190863093,0.00,63.20%,228333224113,2558.625,75.55%,140442,0.002,89201.941650,999.567,18168,0.204,0,0.000,57,0.001,2169303,0.024,2169540,0.024,89240.584749,3.363,26.539438897
svm6,13717840,48580835268,0,24869989508,23199637167,264.920,75.33%,709622255,3.06%,75.27%,2157500409,24.637,75.15%,2998935539031768,1071.346,75.09%,279922265693271,3196476.742,50.28%,1669278345039240,19061.754,50.59%,175515541605,0.00,63.23%,223552203875,2552.778,75.44%,140961,0.002,87532.654237,999.549,17988,0.205,0,0.000,57,0.001,3505211,0.040,3505446,0.040,87572.126525,3.064,28.583815429
svm7,12913344,48580835268,0,23922021266,23897781555,235.700,75.19%,701053052,2.93%,75.10%,2495408738,24.612,75.05%,2621922136646058,940.252,75.15%,278853035040541,2750282.152,50.47%,2501643010353942,24673.298,50.64%,175583188037,0.00,63.19%,259556933060,2559.968,75.33%,148862,0.001,101349.253523,999.591,18522,0.183,0,0.000,57,0.001,2771460,0.027,2771723,0.027,101390.700909,3.655,27.737746605
svm8,14577840,48580835268,0,24236626841,23979900235,259.138,75.30%,713939152,2.98%,75.35%,2275571421,24.591,75.37%,2434282485448335,868.838,75.16%,280176691936675,3027717.568,50.23%,2792111253465795,30172.832,50.41%,178817611052,0.00,62.99%,236614954468,2556.969,75.20%,143503,0.002,92496.652153,999.561,19812,0.214,0,0.000,57,0.001,4950926,0.054,4951152,0.054,92537.261369,2.905,31.856646121
svm9,13071736,48580835268,0,23400424779,23186035342,238.986,75.20%,702501003,3.03%,75.16%,2392526663,24.661,75.31%,560602432531955,66.592,75.31%,841844039584141,8677149.680,50.15%,5038161575467134,51929.906,50.28%,173229316081,0.00,62.91%,248227332375,2558.557,75.21%,143749,0.001,96979.149972,999.594,17358,0.179,0,0.000,57,0.001,2098070,0.022,2098297,0.022,97018.499233,3.386,28.648857838
svm10,12797768,48580835268,0,24300250350,22386483409,253.631,75.62%,697529030,3.12%,75.30%,2171227006,24.599,75.08%,2434668896950775,867.487,75.15%,280657793178446,3179748.235,50.15%,2506894975843019,28402.186,50.53%,170772136879,0.00,63.29%,225610150633,2556.079,75.59%,142304,0.002,88223.514310,999.540,18729,0.212,0,0.000,57,0.001,2263709,0.026,2263912,0.026,88264.155650,3.339,26.436160414
svm11,13393388,48580835268,0,24021462774,22558622621,276.019,75.19%,691631832,3.07%,75.25%,2008232304,24.572,75.23%,1496605775393752,537.332,75.23%,278525142138036,3407928.834,50.53%,4179963845486050,51144.465,50.51%,172802716010,0.00,62.91%,209088655642,2558.330,75.08%,136710,0.002,81690.841168,999.538,16170,0.198,0,0.000,57,0.001,2019871,0.025,2020109,0.025,81728.567614,3.509,23.290702435
svm12,11679516,61038284633,0,84644021952,44536919180,179.383,75.04%,863855170,1.94%,75.15%,6133645119,24.705,75.21%,1496388545766318,266.148,75.24%,562239021140691,2264547.510,50.06%,3941754936807590,15876.328,49.99%,585617171579,0.00,62.55%,637688113561,2568.436,74.95%,208605,0.840,248220.093968,999.764,27165,0.109,0,0.000,56,0.000,3446877,0.014,3447310,0.014,248278.748257,4.044,61.395771315
svm13,13037492,48580835268,0,23490627154,22476722345,266.172,75.23%,700315494,3.12%,75.15%,2077942298,24.607,74.99%,2438308862802130,292.273,75.04%,834257105949595,9879383.633,50.61%,1938249773647053,22953.012,50.83%,170441825653,0.00,63.36%,216035294705,2558.319,75.52%,139394,0.002,84405.615960,999.543,17408,0.206,0,0.000,56,0.001,1696409,0.020,1696647,0.020,84444.246419,3.485,24.231457481
svm14,12011856,48580835268,0,23246271334,24407206122,215.104,75.20%,717988967,2.94%,75.10%,2794682884,24.630,75.30%,2995776082354926,534.067,75.17%,560935870755697,4943601.418,50.18%,1951231275196532,17196.457,50.50%,177081866049,0.00,62.95%,290830345495,2563.126,75.35%,153455,0.001,113424.699112,999.627,18820,0.166,0,0.000,56,0.000,1424551,0.013,1424812,0.013,113467.050296,3.931,28.866580642
svm15,14141192,48580835268,0,23997518732,23129818704,268.600,75.10%,709013382,3.07%,75.26%,2119239240,24.610,75.28%,2052367056986814,183.946,75.43%,1115744073041799,12956831.647,50.46%,2232271211464175,25922.757,50.44%,174675318059,0.00,62.85%,220184869935,2556.947,75.06%,139459,0.002,86072.817180,999.540,18347,0.213,0,0.000,56,0.001,2909311,0.034,2909522,0.034,86112.415709,3.228,26.674812843
svm16,13494480,48580835268,0,24067829383,22828599153,247.930,75.29%,691858085,3.03%,75.18%,2264536377,24.594,75.08%,2247969546140423,268.520,75.13%,837169135246832,9092084.654,50.43%,2225299010053321,24167.885,50.60%,173304990016,0.00,63.12%,235648554232,2559.264,75.43%,140747,0.002,92036.684158,999.565,17268,0.188,0,0.000,56,0.001,3669373,0.040,3669622,0.040,92076.698258,3.111,29.599894089
svm17,12963996,48580835268,0,23648080911,23268763331,232.626,75.04%,695019796,2.99%,75.06%,2464753793,24.641,75.07%,934780797020092,335.268,75.28%,278815980514345,2787415.358,50.48%,5017145752490388,50158.062,50.49%,174237485284,0.00,62.88%,256136926167,2560.685,75.14%,143395,0.001,99986.651835,999.600,18293,0.183,0,0.000,56,0.001,2865187,0.029,2865430,0.029,100026.707449,3.242,30.857582812
svm18,12583376,48580835268,0,24456920335,23631017884,238.445,75.21%,705789581,2.99%,75.20%,2441981771,24.640,75.12%,1871998122252868,78826665.418,75.18%,2374828508,23.963,50.37%,3347871269793777,33781.126,50.45%,175060029315,0.00,62.93%,253896005893,2561.894,75.22%,143179,0.001,99064.171089,999.590,19130,0.193,0,0.000,56,0.001,2417326,0.024,2417604,0.024,99104.787348,3.591,27.599668943
svm19,14035912,48580835268,0,24423677575,22971494170,272.194,75.51%,699896697,3.05%,75.54%,2076469092,24.604,75.44%,1308524149994241,54783975.427,75.29%,2388516240,28.302,49.82%,4491312689051720,53218.411,50.14%,173691531428,0.00,62.99%,215582251371,2554.475,75.36%,140042,0.002,84354.850460,999.537,17514,0.208,0,0.000,55,0.001,2404983,0.028,2405253,0.029,84393.963956,3.364,25.090291500
svm20,13600204,48580835268,0,24073414041,23710410694,235.486,75.13%,685397278,2.89%,75.12%,2480840892,24.639,75.18%,2054325057059023,85161826.943,75.36%,2412260435,23.958,50.39%,3631865820056803,36070.834,50.38%,176276276250,0.00,62.91%,257872509381,2561.129,75.12%,145529,0.001,100647.228294,999.605,18491,0.184,0,0.000,56,0.001,4292556,0.043,4292809,0.043,100687.047894,3.122,32.253524391
svm21,13633724,48580835268,0,23964457914,23820673427,253.200,75.12%,709468683,2.98%,75.25%,2316606206,24.624,75.38%,2613173833623199,934.142,75.40%,279740569731147,2973485.352,50.31%,2520102392913671,26787.275,50.27%,177785859285,0.00,62.91%,240742810698,2558.961,75.26%,143288,0.002,94037.543429,999.566,20042,0.213,0,0.000,56,0.001,4026075,0.043,4026321,0.043,94078.341278,2.982,31.550561125
svm22,11798180,48580835268,0,22977920072,23470546271,252.697,74.85%,704931363,3.00%,75.16%,2284781246,24.599,75.33%,2419549979612144,102253645.284,75.62%,2366223691,25.476,50.63%,3079718799059344,33157.958,50.27%,175039310034,0.00,62.67%,237842229137,2560.741,74.98%,143826,0.002,92840.520644,999.572,16735,0.180,0,0.000,56,0.001,1023291,0.011,1023540,0.011,92880.231929,4.072,22.812015371
svm23,11513472,54035689070,0,54356233135,32220710658,216.289,75.12%,774342134,2.40%,75.21%,3679149463,24.697,75.32%,1121817008666570,398.206,75.27%,281717770479705,1891094.778,49.96%,4778571961871212,32077.254,50.07%,373815263118,0.00,62.50%,382149215413,2565.264,74.98%,163899,0.001,148922.793112,999.678,23955,0.161,0,0.000,55,0.000,2053213,0.014,2053467,0.014,148970.730452,2.859,52.110970723
svm24,11857748,48580835268,0,23705566327,23944859198,236.316,75.09%,708041053,2.96%,75.17%,2497837491,24.652,75.07%,1686680649203505,606.397,75.10%,278147947094428,2745094.218,50.60%,3621763946040640,35743.867,50.52%,175727051000,0.00,62.94%,259244909391,2558.537,75.11%,150373,0.001,101285.181887,999.602,17818,0.176,0,0.000,56,0.001,1604948,0.016,1605191,0.016,101325.464615,4.015,25.238887242
svm25,13569400,48580835268,0,24429767371,22248363193,276.504,75.27%,684126425,3.07%,75.37%,1978609880,24.590,75.42%,1674225307419069,597.700,75.66%,280111231628767,3481237.190,50.24%,3661368766396778,45503.685,49.97%,171050089401,0.00,62.62%,205514867846,2554.150,75.05%,137735,0.002,80425.670239,999.534,16677,0.207,0,0.000,56,0.001,2094715,0.026,2094958,0.026,80463.127440,3.459,23.260373990
svm26,14043412,48580835268,0,24619633415,24243682243,236.215,75.17%,703834252,2.90%,75.09%,2527171787,24.623,75.28%,2244842070680720,802.042,75.23%,279890984780044,2727076.882,50.28%,2504271738388654,24400.005,50.58%,177737235746,0.00,63.11%,262846986092,2561.011,75.49%,148914,0.001,102593.045646,999.600,19634,0.191,0,0.000,56,0.001,4091442,0.040,4091698,0.040,102634.064578,3.368,30.473990546
svm27,12971508,48580835268,0,24492625107,22832960031,292.531,75.22%,688713513,3.02%,75.08%,1916968252,24.560,75.26%,2057253201791868,85631503.452,75.25%,2402449004,30.780,50.45%,3607685786446609,46220.884,50.72%,171373786295,0.00,63.22%,199299014478,2553.376,75.35%,136389,0.002,78015.491974,999.517,16775,0.215,0,0.000,56,0.001,1918266,0.025,1918458,0.025,78053.153751,3.642,21.431199254
svm28,12414828,48580835268,0,23882929807,23978401236,238.940,75.17%,714445024,2.98%,75.19%,2469571097,24.609,75.26%,1497051144841164,534.847,75.21%,279902855899544,2789181.180,50.28%,3622125782220965,36093.826,50.51%,178290608262,0.00,63.04%,257140707716,2562.361,75.28%,145563,0.001,100313.512922,999.606,17146,0.171,0,0.000,56,0.001,2277613,0.023,2277837,0.023,100353.056268,3.535,28.387809348
svm29,13804192,48580835268,0,23929578343,23970203405,252.373,75.23%,717705857,2.99%,75.17%,2337754068,24.613,74.93%,749812144671635,30821273.113,75.08%,2432774733,25.614,50.66%,5276637029038640,55555.662,50.68%,177354032836,0.00,63.13%,243305606690,2561.670,75.21%,141023,0.001,94940.334093,999.590,17731,0.187,0,0.000,56,0.001,2264937,0.024,2265130,0.024,94979.284466,3.414,27.818242580
svm30,12826888,48580835268,0,24415924513,22854934078,255.679,75.18%,696404048,3.05%,75.25%,2198237221,24.592,75.52%,2238342735242321,399.153,75.45%,560773668666707,6273393.942,50.19%,3080494853452358,34461.600,50.26%,172865348134,0.00,62.76%,228643509753,2557.843,75.21%,139751,0.002,89350.175671,999.563,16105,0.180,0,0.000,55,0.001,3088021,0.035,3088247,0.035,89389.200467,3.326,26.874750306
svm31,11860728,48580835268,0,23652845187,23802690800,238.662,75.12%,715819090,3.01%,75.28%,2456038835,24.626,75.29%,2610017825563656,931.762,75.49%,280116479270617,2808639.919,50.24%,2526622203757357,25333.647,50.14%,175283963921,0.00,62.69%,255314659433,2559.960,75.10%,146728,0.001,99692.452309,999.585,17518,0.176,0,0.000,56,0.001,1380792,0.014,1381029,0.014,99733.852434,4.074,24.483465486
svm32,12130956,48580835268,0,23546795487,22845262284,257.311,75.57%,701600615,3.07%,75.64%,2185530665,24.616,75.40%,2253026660105805,265.739,74.96%,847834266473041,9549327.100,49.80%,2514826565398364,28324.995,50.37%,172295258835,0.00,63.17%,226886576420,2555.469,75.54%,141258,0.002,88745.183533,999.555,15482,0.174,0,0.000,56,0.001,1447247,0.016,1447485,0.016,88784.713061,3.708,23.945205468
svm33,13827356,48580835268,0,24316440147,23159551063,271.603,75.19%,710829775,3.07%,74.98%,2098746499,24.613,75.05%,2614695222658207,312.664,75.36%,836264425815356,9807269.323,50.49%,1944044547137764,22798.732,50.68%,173522133790,0.00,63.24%,218216859959,2559.133,75.48%,138387,0.002,85231.651834,999.552,17464,0.205,0,0.000,55,0.001,2533722,0.030,2533982,0.030,85269.854252,3.528,24.166275041
svm34,14411124,48580835268,0,23856881426,23575687604,257.644,75.12%,704074200,2.99%,75.39%,2251607872,24.606,75.45%,2054273209263968,85142289.621,75.36%,2412753073,26.367,50.14%,3364782373962478,36771.578,50.19%,176915248881,0.00,62.87%,234168238864,2559.077,75.17%,140927,0.002,91465.195320,999.565,18927,0.207,0,0.000,56,0.001,3403185,0.037,3403440,0.037,91504.975750,3.001,30.486438051
svm35,12916372,48580835268,0,23514965019,23154161086,252.289,75.48%,698900732,3.02%,75.18%,2259522352,24.620,75.13%,2062857423017800,733.971,75.05%,281054504296578,3062387.457,50.08%,2781034312818352,30302.324,50.61%,173047205676,0.00,63.21%,234610132730,2556.327,75.57%,141915,0.002,91737.145300,999.574,17558,0.191,0,0.000,56,0.001,1641575,0.018,1641798,0.018,91776.272025,3.328,27.575865126
svm36,12577940,48580835268,0,24260352129,23620296799,300.359,75.37%,711925022,3.01%,75.29%,1935111519,24.607,75.31%,2807705201545396,998.583,75.19%,281168921545379,3575377.928,50.05%,2785325026855648,35418.529,50.53%,175729530929,0.00,63.19%,200679751243,2551.868,75.42%,138862,0.002,78602.957684,999.525,16622,0.211,0,0.000,56,0.001,1718393,0.022,1718621,0.022,78640.335986,3.746,20.993125996
