branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
9878146794,371.327,75.24%,343428198,3.48%,75.77%,648177089,24.365,75.94%,3493204174892590,648417707.577,76.55%,538727449,20.251,50.95%,2508508250932340,94296.633,50.49%,51465721251,0.00,63.24%,67532577548,2538.598,75.00%,60773,0.002,26586.414019,999.402,5324,0.200,0,0.000,0,0.000,538949,0.020,538998,0.020,26602.309780,1.579,16.843431948
9919360776,354.999,74.62%,351649104,3.55%,74.93%,679953448,24.335,75.67%,2384721644979167,438.793,76.72%,543472485196618,19450061.509,51.79%,4672398637658896,167218.108,51.21%,50558218972,0.00,63.55%,70802218501,2533.905,75.42%,68250,0.002,27924.015882,999.358,6280,0.225,0,0.000,41,0.001,553139,0.020,553269,0.020,27941.941723,1.739,16.067552581
10087308089,312.761,75.43%,352461655,3.49%,75.64%,786982711,24.401,76.07%,2782868901347923,483852267.896,75.86%,575148467,17.833,50.59%,4152530797477178,128750.907,50.84%,51426133483,0.00,63.44%,81954209461,2541.024,75.41%,67947,0.002,32234.772583,999.452,5892,0.183,0,0.000,41,0.001,539750,0.017,539873,0.017,32252.439210,1.769,18.227566353
9756251227,351.932,76.28%,348993950,3.58%,75.40%,676366358,24.398,75.06%,2986746389425818,513007447.197,75.39%,582203320,21.001,50.48%,3787909886613541,136639.081,52.02%,50405201951,0.00,64.72%,70112571706,2529.130,76.42%,67653,0.002,27704.340537,999.363,5608,0.202,0,0.000,41,0.001,489400,0.018,489520,0.018,27722.009324,1.481,18.712471611
9819664559,356.637,75.68%,348132246,3.55%,75.57%,670639795,24.357,75.67%,3884632060158611,1394.240,76.08%,278619972294683,10119100.590,50.51%,2749359667995180,99853.025,51.19%,51069812641,0.00,63.60%,69904510662,2538.837,75.48%,66878,0.002,27516.880552,999.376,5712,0.207,0,0.000,41,0.001,520283,0.019,520390,0.019,27534.064893,1.337,20.598302065
9796615889,353.656,75.20%,346157182,3.53%,75.70%,674983552,24.367,75.67%,2970449764766619,270.881,75.81%,1096587713837313,39586649.172,51.34%,3027760810665278,109301.703,51.13%,50145525890,0.00,63.54%,70337543970,2539.175,75.19%,65380,0.002,27683.949233,999.386,6086,0.220,0,0.000,40,0.001,417109,0.015,417216,0.015,27700.948092,1.668,16.607016684
10043058828,320.539,75.73%,353215343,3.52%,75.71%,765891373,24.445,75.42%,2059810552379000,149.255,75.16%,1380064891623903,44046814.014,50.99%,3806662121628650,121495.257,51.76%,51423865637,0.00,64.24%,79713908340,2544.187,76.13%,68006,0.002,31313.296175,999.410,7073,0.226,0,0.000,41,0.001,597552,0.019,597663,0.019,31331.775578,1.336,23.457637025
9935189054,342.125,75.28%,354042130,3.56%,75.49%,707941195,24.378,75.61%,2974429531186447,505142329.136,75.71%,588829991,20.277,51.17%,4096225300093211,141056.470,51.54%,50513450215,0.00,64.19%,73737345113,2539.199,75.82%,67773,0.002,29021.376441,999.372,7158,0.246,0,0.000,41,0.001,514296,0.018,514430,0.018,29039.613081,1.301,22.321886966
9984954627,343.296,75.96%,353655617,3.54%,76.17%,709469529,24.392,76.31%,2948989854097496,497019783.803,76.36%,593334501,20.400,49.95%,4488163157017707,154308.909,50.17%,51703311637,0.00,62.82%,73762894873,2536.065,75.29%,68582,0.002,29067.760393,999.388,6564,0.226,0,0.000,41,0.001,445091,0.015,445213,0.015,29085.573825,1.460,19.924254597
10092928774,336.703,74.78%,351961816,3.49%,75.40%,730969789,24.385,75.96%,2955280204267699,502748086.138,76.20%,587825252,19.610,51.15%,3046521322406227,101632.819,50.82%,51936796485,0.00,62.97%,76113023295,2539.152,74.93%,67427,0.002,29957.842722,999.402,6262,0.209,0,0.000,41,0.001,517738,0.017,517848,0.017,29975.763315,1.303,23.013282149
