m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb)
557924,378651304,3824476,189273330,275724,3352416,189339030,276062,858006
546188,378736358,3798360,189283050,256104,3367224,189429488,278024,874191
548096,378823580,3740764,189271286,254388,3349356,189552968,294504,819371
341030,189395772,3659716,53402,92204,3338236,189387946,285732,808030
573412,378743446,3767864,189247258,260102,3357840,189370428,303834,866133
351990,189612480,3382488,307820,135022,3337220,189877048,368866,808430
567858,378778976,3782396,189262492,269744,3344148,189516904,299014,806308
887878,378871074,3737132,189314098,316130,3361300,189511262,305880,835909
806522,379161168,3465088,189274104,272484,3336520,189885162,522444,908687
563850,378731900,3596296,189264882,269982,3348384,189472038,298016,823866
474044,269132302,3747284,25372048,170186,3351456,189928004,388458,812000
650580,378936122,3740888,189308650,346740,3364808,189627908,304266,848075
343004,189417166,3706764,21624,60588,3365696,189396104,283004,812922
803456,378921670,3810492,189261494,268760,3329708,189656278,502002,854840
807758,378909544,3977900,189256800,269706,3330856,189653598,538632,853151
538224,378803270,3734536,189532544,328538,3357840,189816976,354228,868828
527400,378609728,3718828,189243368,253778,3366924,189367392,274306,817261
631904,189466016,3713888,189283536,313294,3336772,189635304,539228,817373
91456,39422,3546328,19864,46564,3335544,20086,45384,709540
317906,189369956,3743784,21538,59436,3340644,189348922,258662,811226
95326,40186,3665088,20272,49680,3338908,20286,45586,711143
614148,189631212,3755148,36134,80606,3338824,189600924,530650,811657
107924,43292,3624492,19674,45184,3337116,20324,49618,710927
365758,189519238,3704212,34624,64084,3339536,189504598,283234,798064
610338,378838626,3406984,189287642,291808,3339812,189549166,306166,819016
334348,189522924,3522192,21270,56068,3338940,189502564,277704,819038
376748,189542574,3357840,295700,141774,3331576,189789976,367018,809792
566912,378817880,3387320,189265262,265738,3350648,189560690,306318,886948
599312,378725820,3615620,189310366,321204,3361960,189417222,278424,879206
550742,378662388,3689280,189258308,263574,3351752,189404258,281994,788250
575842,378716190,3698988,189269222,260410,3356504,189444336,303166,810219
375106,189644800,3744484,312186,148444,3336740,189880394,372216,819803
321314,189477536,3402264,21342,60420,3332928,189456878,261556,812485
91458,39794,3714812,20200,45448,3339712,20546,46586,711800
601420,378648534,3808688,189461862,337972,3345932,189574040,354444,817138
364046,189517446,3762784,22758,69696,3333856,189494146,294542,817797
318152,189480730,3754176,21744,60586,3339544,189460150,258588,812961
578574,378667752,3413108,189265368,261492,3340808,189402766,308046,852753
515976,378622548,3534392,189255906,251606,3363400,189367938,273548,866355
320950,189427404,3728012,216056,110970,3333244,189601936,313936,813079
598012,378739448,3383860,189286024,290412,3340696,189466936,312320,845638
195180,83016,3323792,20372,46492,3331316,20820,49618,713277
526464,378728842,3428424,189262752,252762,3345996,189466642,274542,823985
95472,40376,3566932,20148,49908,3334396,20238,45336,713569
860094,378727014,3365816,189266566,266626,3343300,189385580,308264,822858
565204,378624286,3794808,189257614,262762,3329984,189367224,302972,862489
91588,40190,3307000,20050,46936,3321052,20392,45420,713601
608872,378712814,3684804,189553358,362774,3348168,189706944,392264,875875
522420,378657214,3755540,189271218,251138,3336396,189385876,271162,822724
852972,378869430,3706364,189261076,259332,3345316,189537476,320576,872702
579746,378778388,3711636,189268538,263906,3342832,189510134,316340,819190
350580,189538178,3681632,23090,58552,3329692,189516172,293452,808010
559258,378706502,3740640,189280196,276352,3350928,189427820,283092,863394
557740,378631304,3752020,189261746,260756,3356168,189370092,297610,808947
807388,378916792,3566908,189276750,264050,3351656,189594676,283534,901230
541646,378900936,3681204,189261208,253254,3351540,189759734,314906,860438
566236,378875348,3752180,189271778,269776,3347328,189604160,295780,856649
757678,378813462,3751924,189259866,264762,3329540,189502566,299536,845193
548184,378699834,3746740,189268944,259868,3344432,189445782,297866,889956
332184,189416046,3419144,22244,59692,3359608,189394752,272916,816348
101354,56350,3612804,19732,46742,3348492,36448,54864,718218
319748,189367100,3779116,21358,55972,3330356,189345866,264296,817861
321642,189739980,3721616,21024,55956,3336152,189719508,266084,819104
95194,39238,3519620,19908,48658,3343008,19846,46636,721471
91982,39158,3581452,20858,46214,3339936,19884,46668,718974
535356,378719058,3403624,189254520,247922,3339752,189465606,287244,832004
91586,40230,3575492,19808,45314,3336772,20194,46452,722634
96118,40100,3668296,33412,53068,3339232,32884,49750,720082
821222,379051580,3774896,189282030,286562,3352360,189762080,439254,912506
329980,189494652,3719188,307072,134886,3333600,189759776,347208,830610
834672,379168580,3589316,189275730,286598,3342168,189889376,534940,929012
614580,189637960,3660640,34968,63530,3336084,189557734,284838,820347
133688,29769126,3672208,20076,48790,3336504,36844,52810,723829
588484,378634234,3429928,189278640,267456,3361516,189380890,318190,855927
97460,56328,3645120,19956,45626,3346732,20354,46452,721140
93074,39606,3643152,19916,46382,3346004,19916,46404,722236
325786,189512514,3725620,21864,60296,3355708,189491034,265970,822147
337784,189503084,3742592,31356,75922,3338552,189786448,604078,864839
594728,378670088,3760288,189305170,323150,3356672,189364904,271890,853891
537514,378691666,3739096,189258090,255352,3340672,189415908,277190,826972
569578,378829726,3665104,189537420,334260,3335400,189838246,380530,830708
1099258,379194008,3831928,189299332,309870,3348212,189893284,773208,849409
587990,189475204,3693904,189303826,272884,3333740,189418696,298440,833683
97734,55982,3335676,19758,46430,3337924,35814,45466,723913
325288,189474948,3731964,21290,58988,3334240,189453634,266280,828444
322888,189347122,3715320,21528,59660,3332904,189326638,264382,816689
