branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
2989350012508988,3440258.352,65.91%,140943712,0.00%,58.35%,512998327,0.590,74.98%,35717048,0.000,75.01%,7317803487503334,8421608.195,75.01%,16900949408412044,19450.259,50.80%,18009884644,0.00,62.50%,53342860899,61.389,74.98%,59871,0.069,868703.961100,999.738,2367,0.003,0,0.000,0,0.000,180346,0.208,180359,0.208,868931.837921,48.135,18.052000900
2765523768039086,3535728.731,66.16%,137760497,0.00%,58.89%,460744103,0.589,75.01%,750437782931604,14.813,75.02%,5066032975208244,6476935.238,75.01%,9855040568707140,12599.693,49.98%,17478279097,0.00,62.49%,48485917595,61.989,74.99%,57671,0.074,781968.573895,999.749,2336,0.003,0,0.000,0,0.000,184052,0.235,184057,0.235,782165.142792,48.143,16.246847713
1174081021685919,1351208.340,59.94%,120301436,0.00%,65.12%,465907927,0.536,74.99%,2439551243290936,92.848,75.00%,2627466451401122,3023858.249,74.99%,10409041650506846,11979.398,50.03%,17217561828,0.00,62.50%,49284327148,56.720,74.99%,60387,0.069,868970.395666,1000.067,2487,0.003,0,0.000,0,0.000,177224,0.204,177233,0.204,868911.911482,48.131,18.053070899
8686213911012048,9677214.117,66.43%,145458030,0.00%,58.60%,556281684,0.620,75.00%,36986931,0.000,75.01%,9193241098506932,10242087.456,75.01%,24767692443866476,27593.410,50.00%,18038720444,0.00,62.49%,57692155782,64.274,74.98%,61113,0.068,897522.543196,999.920,2602,0.003,0,0.000,0,0.000,195526,0.218,195541,0.218,897594.473607,48.122,18.652525421
2678597759214442,2721651.887,63.05%,126045268,0.00%,58.61%,498831836,0.507,74.99%,1313634058231771,77.776,75.00%,1688995120198730,1716142.985,74.99%,10013300596179112,10174.248,53.41%,17272314223,0.00,62.50%,52448741232,53.292,74.99%,57757,0.059,983925.505097,999.741,2190,0.002,0,0.000,0,0.000,180220,0.183,180233,0.183,984180.883816,48.114,20.455119072
4459234974226353,5596912.447,56.81%,128770082,0.00%,68.23%,460451431,0.578,74.99%,4503163035754937,28.234,75.01%,15949271069226522,20018383.039,75.00%,32638115547835740,40965.026,50.02%,18788379721,0.00,62.49%,47046657812,59.050,74.98%,64845,0.081,796574.214928,999.803,2171,0.003,0,0.000,0,0.000,184427,0.231,184434,0.231,796731.236405,48.147,16.547848677
3505175011,3.108,50.02%,140082451,4.00%,75.01%,707700603,0.627,75.01%,39964831,0.000,75.02%,5066249251665860,4491889.793,75.00%,10979640873138928,9734.882,49.99%,17881607470,0.00,62.48%,73325183191,65.012,74.98%,61558,0.055,1127718.056104,999.869,2273,0.002,0,0.000,0,0.000,181336,0.161,181346,0.161,1127865.883913,48.091,23.452525569
1195304562115176,1116324.915,58.87%,148357984,0.00%,62.01%,529659987,0.495,74.74%,1688641887335533,34.610,75.01%,4878992603525402,4556613.581,75.00%,9568368699290142,8936.140,54.42%,18595312958,0.00,62.50%,55615317106,51.941,75.00%,65266,0.061,1070594.800637,999.855,2535,0.002,0,0.000,0,0.000,191051,0.178,191067,0.178,1070749.695317,48.105,22.258653141
960227613425479,1020585.399,58.63%,136603114,0.00%,61.21%,512823216,0.545,74.99%,1313595703935675,53.851,75.00%,2439299506014531,2592628.482,75.00%,10704111744816056,11376.949,55.22%,17455277792,0.00,62.50%,53255242503,56.603,74.98%,59417,0.063,940829.233225,999.968,2258,0.002,0,0.000,0,0.000,178967,0.190,178972,0.190,940859.642255,48.118,19.553072127
550970202021543,501059.028,51.09%,138192003,0.00%,73.96%,582867339,0.530,75.00%,1313550207325871,29.163,75.00%,4504139804712608,4096119.723,74.99%,10975162991655744,9980.947,50.01%,17358960142,0.00,62.51%,59887992013,54.463,75.00%,61019,0.055,1099493.536500,999.893,2120,0.002,0,0.000,0,0.000,177606,0.162,177616,0.162,1099611.366230,48.105,22.858788290
8864432010843996,7661555.356,66.68%,156873024,0.00%,57.83%,597575329,0.516,75.00%,40122358,0.000,75.01%,16698208155064344,14432311.734,75.01%,27861111819011284,24080.443,50.51%,19484803542,0.00,62.49%,62392380889,53.926,74.98%,66350,0.057,1156994.135179,999.994,2165,0.002,0,0.000,0,0.000,182475,0.158,182479,0.158,1157001.626861,48.089,24.059650005
