,m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb),m-branches,m-branches(M/sec),m-branches(%),m-branch-misses,m-branch-misses(% of all),m-branch-misses(%),m-bus-cycles,m-bus-cycles(M/sec),m-bus-cycles(%),m-cache-misses,m-cache-misses(% of all),m-cache-misses(%),m-cache-references,m-cache-references(M/sec),m-cache-references(%),m-cpu-cycles,m-cpu-cyclesGHz,m-cpu-cycles(%),m-instructions,m-instructions(per cycle),m-instructions(%),m-ref-cycles,m-ref-cycles(M/sec),m-ref-cycles(%),m-context-switches,m-context-switches(K/sec),m-cpu-clock,m-cpu-clock(M/sec),m-cpu-migrations,m-cpu-migrations(K/sec),m-emulation-faults,m-emulation-faults(K/sec),m-major-faults,m-major-faults(K/sec),m-minor-faults,m-minor-faults(M/sec),m-page-faults,m-page-faults(M/sec),m-task-clock(msec),m-CPUs,m-duration(s),s1-branches,s1-branches(M/sec),s1-branches(%),s1-branch-misses,s1-branch-misses(% of all),s1-branch-misses(%),s1-bus-cycles,s1-bus-cycles(M/sec),s1-bus-cycles(%),s1-cache-misses,s1-cache-misses(% of all),s1-cache-misses(%),s1-cache-references,s1-cache-references(M/sec),s1-cache-references(%),s1-cpu-cycles,s1-cpu-cyclesGHz,s1-cpu-cycles(%),s1-instructions,s1-instructions(per cycle),s1-instructions(%),s1-ref-cycles,s1-ref-cycles(M/sec),s1-ref-cycles(%),s1-context-switches,s1-context-switches(K/sec),s1-cpu-clock,s1-cpu-clock(M/sec),s1-cpu-migrations,s1-cpu-migrations(K/sec),s1-emulation-faults,s1-emulation-faults(K/sec),s1-major-faults,s1-major-faults(K/sec),s1-minor-faults,s1-minor-faults(M/sec),s1-page-faults,s1-page-faults(M/sec),s1-task-clock(msec),s1-CPUs,s2-branches,s2-branches(M/sec),s2-branches(%),s2-branch-misses,s2-branch-misses(% of all),s2-branch-misses(%),s2-bus-cycles,s2-bus-cycles(M/sec),s2-bus-cycles(%),s2-cache-misses,s2-cache-misses(% of all),s2-cache-misses(%),s2-cache-references,s2-cache-references(M/sec),s2-cache-references(%),s2-cpu-cycles,s2-cpu-cyclesGHz,s2-cpu-cycles(%),s2-instructions,s2-instructions(per cycle),s2-instructions(%),s2-ref-cycles,s2-ref-cycles(M/sec),s2-ref-cycles(%),s2-context-switches,s2-context-switches(K/sec),s2-cpu-clock,s2-cpu-clock(M/sec),s2-cpu-migrations,s2-cpu-migrations(K/sec),s2-emulation-faults,s2-emulation-faults(K/sec),s2-major-faults,s2-major-faults(K/sec),s2-minor-faults,s2-minor-faults(M/sec),s2-page-faults,s2-page-faults(M/sec),s2-task-clock(msec),s2-CPUs
0,557924,378651304,3824476,189273330,275724,3352416,189339030,276062,858006,9878146794,371.327,0.752,343428198,0.034,0.757,648177089,24.365,0.759,3493204174892590,648417707.577,0.765,538727449,20.250999999999998,0.509,2508508250932340,94296.633,0.504,51465721251,0.0,0.632,67532577548,2538.598,0.75,60773,0.002,26586.414019,999.4019999999999,5324,0.2,0,0.0,0,0.0,538949,0.02,538998,0.02,26602.30978,1.579,16.843431948,4844204221854788,5577780.307,0.581,476205122,0.0,0.669,998157845,1.149,0.75,8630159370522226,64.79,0.75,13320199729655690,15337327.73,0.75,30958650331338704,35646.835,0.5,95749269204,0.0,0.624,102125658475,117.59100000000001,0.7490000000000001,114604,0.132,868433.6397940001,999.944,4737,0.005,0,0.0,0,0.0,900225,0.001,900334,0.001,868482.434776,48.117,2989350012508988,3440258.352,0.659,140943712,0.0,0.583,512998327,0.59,0.7490000000000001,35717048,0.0,0.75,7317803487503334,8421608.195,0.75,16900949408412044,19450.259,0.508,18009884644,0.0,0.625,53342860899,61.388999999999996,0.7490000000000001,59871,0.069,868703.9611,999.738,2367,0.003,0,0.0,0,0.0,180346,0.20800000000000002,180359,0.20800000000000002,868931.8379209999,48.135
1,546188,378736358,3798360,189283050,256104,3367224,189429488,278024,874191,9919360776,354.999,0.746,351649104,0.035,0.7490000000000001,679953448,24.335,0.7559999999999999,2384721644979167,438.793,0.767,543472485196618,19450061.509,0.517,4672398637658896,167218.108,0.512,50558218972,0.0,0.635,70802218501,2533.905,0.754,68250,0.002,27924.015882,999.3580000000001,6280,0.225,0,0.0,41,0.001,553139,0.02,553269,0.02,27941.941723000004,1.739,16.067552580999998,2114104825025849,2702993.3389999997,0.599,476600509,0.0,0.6509999999999999,986361334,1.261,0.75,1313330136021274,25.921,0.75,5066751267251736,6478105.892999999,0.75,15765292607858488,20156.749,0.499,96540346372,0.0,0.624,102234361594,130.71200000000002,0.75,112367,0.14400000000000002,781905.0265510001,999.706,4866,0.006,0,0.0,0,0.0,910585,0.001,910673,0.001,782134.678144,48.14,2765523768039086,3535728.731,0.6609999999999999,137760497,0.0,0.588,460744103,0.589,0.75,750437782931604,14.812999999999999,0.75,5066032975208244,6476935.238,0.75,9855040568707140,12599.693000000001,0.499,17478279097,0.0,0.624,48485917595,61.989,0.7490000000000001,57671,0.07400000000000001,781968.573895,999.7489999999999,2336,0.003,0,0.0,0,0.0,184052,0.235,184057,0.235,782165.142792,48.143
2,548096,378823580,3740764,189271286,254388,3349356,189552968,294504,819371,10087308089,312.76099999999997,0.754,352461655,0.034,0.7559999999999999,786982711,24.401,0.76,2782868901347923,483852267.89599997,0.758,575148467,17.833,0.505,4152530797477178,128750.90699999999,0.508,51426133483,0.0,0.634,81954209461,2541.024,0.754,67947,0.002,32234.772582999998,999.452,5892,0.183,0,0.0,41,0.001,539750,0.017,539873,0.017,32252.439210000004,1.7690000000000001,18.227566353,1992667655602329,2294219.171,0.635,427695520,0.0,0.614,991090668,1.141,0.7490000000000001,375251135117937,8.696,0.75,4315407672602428,4968460.739,0.75,8722440085176136,10042.412,0.5,94077184094,0.0,0.625,103524810732,119.191,0.7490000000000001,110992,0.128,868487.332757,999.916,4960,0.006,0,0.0,0,0.0,833297,0.9590000000000001,833406,0.96,868560.284417,48.123999999999995,1174081021685919,1351208.34,0.599,120301436,0.0,0.6509999999999999,465907927,0.536,0.7490000000000001,2439551243290936,92.848,0.75,2627466451401122,3023858.249,0.7490000000000001,10409041650506846,11979.398000000001,0.5,17217561828,0.0,0.625,49284327148,56.72,0.7490000000000001,60387,0.069,868970.395666,1000.067,2487,0.003,0,0.0,0,0.0,177224,0.204,177233,0.204,868911.911482,48.131
3,341030,189395772,3659716,53402,92204,3338236,189387946,285732,808030,9756251227,351.93199999999996,0.762,348993950,0.035,0.754,676366358,24.398000000000003,0.75,2986746389425818,513007447.19699997,0.753,582203320,21.000999999999998,0.504,3787909886613541,136639.081,0.52,50405201951,0.0,0.647,70112571706,2529.13,0.764,67653,0.002,27704.340537,999.363,5608,0.20199999999999999,0,0.0,41,0.001,489400,0.018000000000000002,489520,0.018000000000000002,27722.009324000002,1.4809999999999999,18.712471610999998,4349462382534885,4846114.487,0.614,436285190,0.0,0.612,1001216932,1.1159999999999999,0.75,1876116041366189,76.91199999999999,0.75,2439290359986890,2717825.633,0.75,9949010786588888,11085.059,0.523,98011111164,0.0,0.624,104545720869,116.48299999999999,0.7490000000000001,108910,0.121,897279.6484530001,999.737,4551,0.005,0,0.0,0,0.0,684940,0.763,685036,0.763,897515.3999719999,48.125,8686213911012048,9677214.117,0.664,145458030,0.0,0.586,556281684,0.62,0.75,36986931,0.0,0.75,9193241098506932,10242087.456,0.75,24767692443866476,27593.41,0.5,18038720444,0.0,0.624,57692155782,64.274,0.7490000000000001,61113,0.068,897522.5431959999,999.92,2602,0.003,0,0.0,0,0.0,195526,0.218,195541,0.218,897594.473607,48.122
4,573412,378743446,3767864,189247258,260102,3357840,189370428,303834,866133,9819664559,356.63699999999994,0.7559999999999999,348132246,0.035,0.755,670639795,24.357,0.7559999999999999,3884632060158611,1394.24,0.76,278619972294683,10119100.59,0.505,2749359667995180,99853.025,0.511,51069812641,0.0,0.636,69904510662,2538.837,0.754,66878,0.002,27516.880552,999.3760000000001,5712,0.207,0,0.0,41,0.001,520283,0.019,520390,0.019,27534.064893000002,1.337,20.598302065,1379170930309933,1401416.576,0.612,414596683,0.0,0.619,1013558852,1.03,0.7490000000000001,2251890821221437,85.715,0.75,2627182586018929,2669558.315,0.75,10857699184417934,11032.831,0.518,95655605204,0.0,0.625,106328434223,108.04299999999999,0.7490000000000001,110457,0.11199999999999999,983918.255934,999.789,4862,0.005,0,0.0,0,0.0,830816,0.8440000000000001,830904,0.8440000000000001,984126.3144469999,48.115,2678597759214442,2721651.887,0.63,126045268,0.0,0.586,498831836,0.507,0.7490000000000001,1313634058231771,77.77600000000001,0.75,1688995120198730,1716142.985,0.7490000000000001,10013300596179112,10174.248,0.534,17272314223,0.0,0.625,52448741232,53.292,0.7490000000000001,57757,0.059000000000000004,983925.5050969999,999.7410000000001,2190,0.002,0,0.0,0,0.0,180220,0.183,180233,0.183,984180.883816,48.114
5,351990,189612480,3382488,307820,135022,3337220,189877048,368866,808430,9796615889,353.656,0.752,346157182,0.035,0.757,674983552,24.366999999999997,0.7559999999999999,2970449764766619,270.881,0.758,1096587713837313,39586649.172,0.513,3027760810665278,109301.70300000001,0.511,50145525890,0.0,0.635,70337543970,2539.175,0.7509999999999999,65380,0.002,27683.949233,999.3860000000001,6086,0.22,0,0.0,40,0.001,417109,0.015,417216,0.015,27700.948092000002,1.6680000000000001,16.607016684,7748870364977394,9727833.506000001,0.617,330798869,0.0,0.632,800997169,1.006,0.7490000000000001,3377284922645306,24.000999999999998,0.75,14071484420669918,17665162.943,0.75,33766667005222664,42390.245,0.5,61576905045,0.0,0.624,84342558935,105.883,0.7490000000000001,90323,0.113,796354.160986,999.7330000000001,3397,0.004,0,0.0,0,0.0,617557,0.775,617564,0.775,796566.919066,48.138000000000005,4459234974226353,5596912.447000001,0.568,128770082,0.0,0.682,460451431,0.578,0.7490000000000001,4503163035754937,28.234,0.75,15949271069226522,20018383.039,0.75,32638115547835740,40965.026,0.5,18788379721,0.0,0.624,47046657812,59.05,0.7490000000000001,64845,0.081,796574.214928,999.803,2171,0.003,0,0.0,0,0.0,184427,0.231,184434,0.231,796731.236405,48.147
6,567858,378778976,3782396,189262492,269744,3344148,189516904,299014,806308,10043058828,320.539,0.757,353215343,0.035,0.757,765891373,24.445,0.754,2059810552379000,149.255,0.7509999999999999,1380064891623903,44046814.014,0.509,3806662121628650,121495.257,0.517,51423865637,0.0,0.642,79713908340,2544.187,0.7609999999999999,68006,0.002,31313.296175,999.41,7073,0.226,0,0.0,41,0.001,597552,0.019,597663,0.019,31331.775577999997,1.3359999999999999,23.457637025,1929416023423578,1710051.267,0.6559999999999999,477860178,0.0,0.593,1088889482,0.965,0.7490000000000001,375305711722789,8.334,0.75,4503187019266400,3991197.6339999996,0.75,10412135787587228,9228.329,0.5,95866701312,0.0,0.625,113766892926,100.83200000000001,0.7490000000000001,114257,0.10099999999999999,1128124.609472,999.863,4416,0.004,0,0.0,0,0.0,835493,0.741,835587,0.741,1128279.637377,48.096000000000004,3505175011,3.108,0.5,140082451,0.04,0.75,707700603,0.627,0.75,39964831,0.0,0.75,5066249251665860,4491889.7930000005,0.75,10979640873138928,9734.882,0.499,17881607470,0.0,0.624,73325183191,65.012,0.7490000000000001,61558,0.055,1127718.0561040002,999.8689999999999,2273,0.002,0,0.0,0,0.0,181336,0.161,181346,0.161,1127865.8839129999,48.091
7,887878,378871074,3737132,189314098,316130,3361300,189511262,305880,835909,9935189054,342.125,0.752,354042130,0.035,0.754,707941195,24.378,0.7559999999999999,2974429531186447,505142329.136,0.757,588829991,20.277,0.511,4096225300093211,141056.47,0.515,50513450215,0.0,0.6409999999999999,73737345113,2539.199,0.758,67773,0.002,29021.376441000004,999.372,7158,0.24600000000000002,0,0.0,41,0.001,514296,0.018000000000000002,514430,0.018000000000000002,29039.613081,1.301,22.321886965999997,919567468128748,858809.932,0.612,444350830,0.0,0.614,1016580925,0.9490000000000001,0.75,2251491372538353,47.996,0.75,4690998523943766,4381055.511,0.75,11293228878520278,10547.063999999998,0.523,97151387708,0.0,0.624,105272735724,98.31700000000001,0.7490000000000001,111900,0.105,1070711.383994,999.967,4833,0.005,0,0.0,0,0.0,842322,0.787,842411,0.787,1070746.196274,48.11,1195304562115176,1116324.915,0.588,148357984,0.0,0.62,529659987,0.495,0.747,1688641887335533,34.61,0.75,4878992603525402,4556613.581,0.75,9568368699290142,8936.14,0.544,18595312958,0.0,0.625,55615317106,51.941,0.75,65266,0.061,1070594.800637,999.855,2535,0.002,0,0.0,0,0.0,191051,0.17800000000000002,191067,0.17800000000000002,1070749.695317,48.105
8,806522,379161168,3465088,189274104,272484,3336520,189885162,522444,908687,9984954627,343.296,0.759,353655617,0.035,0.7609999999999999,709469529,24.392,0.763,2948989854097496,497019783.80300003,0.763,593334501,20.4,0.499,4488163157017707,154308.909,0.501,51703311637,0.0,0.628,73762894873,2536.065,0.752,68582,0.002,29067.760393,999.388,6564,0.226,0,0.0,41,0.001,445091,0.015,445213,0.015,29085.573825,1.46,19.924254597,1379101795162899,1443559.701,0.612,418190495,0.0,0.609,1044284956,1.093,0.7490000000000001,1313536945798194,24.135,0.75,5442510642004740,5696888.411,0.7490000000000001,8250503661213348,8636.124,0.528,95650502658,0.0,0.625,108131118917,113.185,0.7490000000000001,110128,0.115,955099.387363,999.74,4889,0.005,0,0.0,0,0.0,987906,0.001,987985,0.001,955347.945948,48.12,960227613425479,1020585.3990000001,0.586,136603114,0.0,0.612,512823216,0.545,0.7490000000000001,1313595703935675,53.851000000000006,0.75,2439299506014531,2592628.482,0.75,10704111744816056,11376.948999999999,0.552,17455277792,0.0,0.625,53255242503,56.603,0.7490000000000001,59417,0.063,940829.233225,999.9680000000001,2258,0.002,0,0.0,0,0.0,178967,0.19,178972,0.19,940859.642255,48.118
9,563850,378731900,3596296,189264882,269982,3348384,189472038,298016,823866,10092928774,336.70300000000003,0.747,351961816,0.034,0.754,730969789,24.385,0.759,2955280204267699,502748086.138,0.762,587825252,19.61,0.511,3046521322406227,101632.819,0.508,51936796485,0.0,0.629,76113023295,2539.152,0.7490000000000001,67427,0.002,29957.842722,999.4019999999999,6262,0.209,0,0.0,41,0.001,517738,0.017,517848,0.017,29975.763314999997,1.3030000000000002,23.013282149000002,1189686044913135,1081874.847,0.591,459969140,0.0,0.612,1061988490,0.966,0.75,3377717093539877,94.723,0.75,3565876616754682,3242731.337,0.7490000000000001,11321444828226976,10295.478000000001,0.547,96338055338,0.0,0.625,111280290732,101.196,0.75,114013,0.10400000000000001,1099466.971158,999.832,4776,0.004,0,0.0,0,0.0,935332,0.851,935416,0.851,1099652.1901,48.103,550970202021543,501059.028,0.51,138192003,0.0,0.7390000000000001,582867339,0.53,0.75,1313550207325871,29.163,0.75,4504139804712608,4096119.723,0.7490000000000001,10975162991655744,9980.947,0.5,17358960142,0.0,0.625,59887992013,54.463,0.75,61019,0.055,1099493.5365,999.893,2120,0.002,0,0.0,0,0.0,177606,0.162,177616,0.162,1099611.3662299998,48.105
